# Mass Balance;  Corbassière; 38; annual
# name; date0; time0; date1; time1; period; date_quality; x_pos ; y_pos ; z_pos ; position_quality; mb_raw ; density ;  density_quality ; mb_we ; measurement_quality ; measurement_type ; mb_error ; reading_error ; density_error ; error_evaluation_method; source
# (-);  (yyyymmdd); (hhmm) ; (yyyymmdd); (hhmm) ; (d) ; (#) ; (m) ; (m) ; (m a.s.l.) ; (#) ; (cm) ; (kg m-3) ; (#) ; (mm w.e.) ; (#) ; (#) ; (mm w.e.) ; (mm w.e.) ; (mm w.e.) ; (#) ; (-) 
#  GLAMOS / VAW-ETHZ    ; production-date 20231122 ;   reference ; http://www.glamos.ch
         B3   20020907 1200   20030904 1200  362.0  0   589222.0  93027.3  2657.7   3  -506   900   1  -4554   1   0   264   255    68   0  fmm
         B2   20020907 1200   20030904 1200  362.0  0   589386.3  93114.4  2653.8   3  -472   900   1  -4248   1   0   263   255    63   0  fmm
         B1   20020907 1200   20030904 1200  362.0  0   589572.1  93212.3  2652.6   3  -415   900   1  -3735   1   0   261   255    56   0  fmm
         A1   20020907 1200   20030905 1200  363.0  0   588645.6  94324.8  2480.9   3  -552   900   1  -4968   1   0   368   360    74   0  fmm
         A3   20020907 1200   20030905 1200  363.0  0   588262.9  94207.0  2475.5   3  -441   900   1  -3969   1   0   365   360    59   0  fmm
         A2   20020907 1200   20030905 1200  363.0  0   588447.8  94264.6  2469.4   3  -548   900   1  -4932   1   0   367   360    73   0  fmm
         B3   20030904 1200   20040908 1200  370.0  0   589216.0  93037.1  2654.4   3  -337   900   1  -3033   1   0   259   255    45   0  fmm,ab
         B2   20030904 1200   20040908 1200  370.0  0   589380.4  93122.0  2651.1   3  -328   900   1  -2952   1   0   259   255    44   0  fmm,ab
         B1   20030904 1200   20040908 1200  370.0  0   589518.5  93192.9  2647.1   3  -344   900   1  -3096   1   0   259   255    46   0  fmm,ab
          R   20030905 1200   20040908 1200  369.0  0   589118.7  93649.5  2622.7   3  -415   900   1  -3735   1   0   261   255    56   0  fmm,ab
         A1   20030905 1200   20040908 1200  369.0  0   588645.6  94324.8  2480.9   3  -468   900   1  -4212   1   0   365   360    63   0  fmm,ab
         A3   20030905 1200   20040908 1200  369.0  0   588272.6  94210.8  2471.0   3  -334   900   1  -3006   1   0   363   360    45   0  fmm,ab
         A2   20030905 1200   20040908 1200  369.0  0   588449.2  94264.4  2466.0   3  -423   900   1  -3807   1   0   364   360    57   0  fmm,ab
         B3   20040908 1200   20050831 1200  357.0  0   589217.5  93031.6  2653.3   3  -397   900   1  -3573   1   0   260   255    53   0  fmm,ab
         B2   20040908 1200   20050831 1200  357.0  0   589378.1  93120.2  2649.8   3  -402   900   1  -3618   1   0   261   255    54   0  fmm,ab
         B1   20040908 1200   20050831 1200  357.0  0   589574.2  93208.5  2649.4   3  -350   900   1  -3150   1   0   259   255    47   0  fmm,ab
          R   20040908 1200   20050831 1200  357.0  0   589135.5  93664.6  2618.9   3  -472   900   1  -4248   1   0   263   255    63   0  fmm,ab
         A1   20040908 1200   20050901 1200  358.0  0   588646.5  94322.4  2475.1   3  -570   900   1  -5130   1   0   368   360    76   0  fmm,ab
         A3   20040908 1200   20050901 1200  358.0  0   588271.5  94212.3  2467.5   3  -372   900   1  -3348   1   0   363   360    50   0  fmm,ab
         A2   20040908 1200   20050901 1200  358.0  0   588447.5  94264.1  2462.7   3  -507   900   1  -4563   1   0   366   360    68   0  fmm,ab
         B3   20050831 1200   20060906 1200  371.0  1   589225.4  93019.3  2652.7   2  -358   900   1  -3222   1   1    66    45    48   0  fmm,ab
         B2   20050831 1200   20060906 1200  371.0  1   589382.4  93105.8  2649.2   2  -342   900   1  -3078   1   1    64    45    46   0  fmm,ab
