        rmsthk      stdthk       rmsvel       stdvel       rmsdiv       stddiv       rmsusurf       stdusurf       vol
3.6879231930 18.1541767120 -16.1088905334 32.1193428040 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7403049469
3.7071819305 18.0276508331 -16.0990104675 32.0634460449 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7457656860
3.7237420082 17.9209880829 -16.0797119141 32.0234298706 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7504615784
3.7388312817 17.8255481720 -16.0625267029 31.9893455505 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7547397614
3.7530438900 17.7373409271 -16.0554981232 31.9514160156 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7587699890
3.7666251659 17.6542186737 -16.0324249268 31.9295253754 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7626218796
3.7798240185 17.5747966766 -16.0184001923 31.9018096924 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7663640976
3.7927985191 17.4981765747 -16.0144329071 31.8673763275 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7700424194
3.8055703640 17.4237937927 -15.9983243942 31.8422451019 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7736654282
3.8182475567 17.3511905670 -15.9852581024 31.8164577484 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7772588730
3.8309018612 17.2800388336 -15.9809150696 31.7839412689 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7808465958
3.8435220718 17.2101135254 -15.9595718384 31.7657947540 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7844257355
3.8561792374 17.1412258148 -15.9505357742 31.7379779816 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7880134583
3.8689217567 17.0732269287 -15.9475221634 31.7053947449 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7916269302
3.8817076683 17.0060691833 -15.9260044098 31.6872940063 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7952528000
3.8946061134 16.9396381378 -15.9138708115 31.6616916656 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7989110947
3.9076583385 16.8738803864 -15.9104194641 31.6288509369 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.8026123047
3.9208159447 16.8088092804 -15.8942184448 31.6058025360 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.8063440323
3.9341251850 16.7443809509 -15.8811836243 31.5801486969 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.8101177216
3.9476161003 16.6805915833 -15.8813123703 31.5421600342 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.8139419556
3.9612240791 16.6175079346 -15.8593759537 31.5231952667 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.8178014755
3.9750063419 16.5550994873 -15.8465986252 31.4966964722 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.8217105865
3.9889891148 16.4933948517 -15.8413190842 31.4628944397 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.8256750107
4.0031332970 16.4324417114 -15.8253746033 31.4378299713 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.8296852112
