     velsurf       thk_regu           glen
     28.6812         0.0907        -0.8501
     29.4760         0.0933        -0.8501
     29.4098         0.0935        -0.8501
     29.3528         0.0936        -0.8501
     29.3005         0.0937        -0.8501
     29.2535         0.0938        -0.8501
     29.2072         0.0939        -0.8501
     29.1628         0.0941        -0.8501
     29.1177         0.0942        -0.8501
     29.0757         0.0943        -0.8501
     29.0325         0.0944        -0.8501
     28.9916         0.0945        -0.8501
     28.9496         0.0946        -0.8501
     28.9080         0.0947        -0.8501
     28.8666         0.0948        -0.8501
     28.8250         0.0950        -0.8501
     28.7833         0.0951        -0.8501
     28.7415         0.0952        -0.8501
     28.6996         0.0953        -0.8501
     28.6571         0.0955        -0.8501
     28.6143         0.0956        -0.8501
     28.5711         0.0957        -0.8501
     28.5264         0.0959        -0.8501
     28.4809         0.0960        -0.8501
     28.4387         0.0962        -0.8501
     28.3906         0.0963        -0.8501
     28.3474         0.0965        -0.8501
     28.3004         0.0966        -0.8501
     28.2555         0.0968        -0.8501
     28.2077         0.0970        -0.8501
     28.1631         0.0971        -0.8501
     28.1113         0.0973        -0.8501
     28.0694         0.0975        -0.8501
     28.0169         0.0977        -0.8501
     27.9742         0.0978        -0.8501
     27.9204         0.0980        -0.8501
     27.8765         0.0982        -0.8501
     27.8201         0.0984        -0.8501
     27.7758         0.0986        -0.8501
     27.7205         0.0988        -0.8501
     27.6755         0.0991        -0.8501
     27.6200         0.0993        -0.8501
     27.5719         0.0995        -0.8501
     27.5176         0.0997        -0.8501
     27.4695         0.1000        -0.8501
     27.4134         0.1002        -0.8501
     27.3646         0.1004        -0.8501
     27.3081         0.1007        -0.8501
     27.2548         0.1009        -0.8501
     27.2000         0.1012        -0.9209
     23.3488         0.1015        -0.9209
     23.2896         0.1017        -0.9209
     23.2359         0.1019        -0.9209
     23.1772         0.1021        -0.9209
     23.1275         0.1024        -0.9209
     23.0653         0.1026        -0.9209
     23.0141         0.1028        -0.9209
     22.9565         0.1031        -0.9209
     22.8971         0.1033        -0.9209
     22.8381         0.1036        -0.9209
     22.7850         0.1039        -0.9209
     22.7264         0.1041        -0.9209
     22.6705         0.1044        -0.9209
     22.6125         0.1047        -0.9209
     22.5559         0.1049        -0.9209
     22.4990         0.1052        -0.9209
     22.4438         0.1055        -0.9209
     22.3789         0.1058        -0.9209
     22.3232         0.1061        -0.9209
     22.2647         0.1064        -0.9209
     22.2089         0.1068        -0.9209
     22.1504         0.1071        -0.9209
     22.0950         0.1074        -0.9209
     22.0336         0.1077        -0.9209
     21.9741         0.1081        -0.9209
     21.9120         0.1084        -0.9209
     21.8546         0.1088        -0.9209
     21.7944         0.1091        -0.9209
     21.7361         0.1095        -0.9209
     21.6771         0.1098        -0.9209
     21.6188         0.1102        -0.9209
     21.5608         0.1106        -0.9209
     21.5041         0.1109        -0.9209
     21.4451         0.1113        -0.9209
     21.3766         0.1117        -0.9209
     21.3279         0.1121        -0.9209
     21.2647         0.1125        -0.9209
     21.2132         0.1129        -0.9209
     21.1521         0.1134        -0.9209
     21.1000         0.1138        -0.9209
     21.0381         0.1142        -0.9209
     20.9906         0.1146        -0.9209
     20.9272         0.1151        -0.9209
     20.8742         0.1155        -0.9209
     20.8126         0.1160        -0.9209
     20.7581         0.1164        -0.9209
     20.6962         0.1169        -0.9209
     20.6398         0.1174        -0.9209
     20.5819         0.1179        -0.9209
     20.5245         0.1183        -0.9453
     19.9832         0.1188        -0.9453
     19.9040         0.1193        -0.9453
     19.8577         0.1198        -0.9453
     19.8017         0.1203        -0.9453
     19.7508         0.1208        -0.9453
     19.6942         0.1213        -0.9453
     19.6463         0.1218        -0.9453
     19.5896         0.1223        -0.9453
     19.5446         0.1228        -0.9453
     19.4817         0.1234        -0.9453
     19.4330         0.1239        -0.9453
     19.3730         0.1244        -0.9453
     19.3296         0.1250        -0.9453
     19.2707         0.1255        -0.9453
     19.2214         0.1261        -0.9453
     19.1660         0.1267        -0.9453
     19.1071         0.1272        -0.9453
     19.0584         0.1278        -0.9453
     19.0023         0.1284        -0.9453
     18.9555         0.1290        -0.9453
     18.9071         0.1296        -0.9453
     18.8640         0.1302        -0.9453
     18.8226         0.1308        -0.9453
     18.7767         0.1314        -0.9453
     18.7235         0.1320        -0.9453
     18.6742         0.1327        -0.9453
     18.6126         0.1333        -0.9453
     18.5670         0.1339        -0.9453
     18.5138         0.1346        -0.9453
     18.4696         0.1352        -0.9453
     18.4126         0.1359        -0.9453
     18.3761         0.1365        -0.9453
     18.3185         0.1372        -0.9453
     18.2909         0.1379        -0.9453
     18.2307         0.1385        -0.9453
     18.1935         0.1392        -0.9453
     18.1385         0.1399        -0.9453
     18.0953         0.1406        -0.9453
     18.0453         0.1413        -0.9453
     18.0237         0.1420        -0.9453
     17.9636         0.1427        -0.9453
     17.9383         0.1434        -0.9453
     17.8717         0.1441        -0.9453
     17.8486         0.1448        -0.9453
     17.7910         0.1456        -0.9453
     17.7725         0.1463        -0.9453
     17.7052         0.1470        -0.9453
     17.7043         0.1478        -0.9453
     17.6315         0.1485        -0.9453
     17.6363         0.1493        -1.0157
     16.4690         0.1500        -1.0157
     16.4742         0.1507        -1.0157
     16.3477         0.1515        -1.0157
     16.4000         0.1522        -1.0157
     16.2675         0.1529        -1.0157
     16.3170         0.1536        -1.0157
     16.2000         0.1544        -1.0157
     16.2595         0.1551        -1.0157
     16.1331         0.1559        -1.0157
     16.1895         0.1566        -1.0157
     16.0661         0.1574        -1.0157
     16.1223         0.1582        -1.0157
     16.0001         0.1589        -1.0157
     16.0564         0.1597        -1.0157
     15.9336         0.1605        -1.0157
     15.9946         0.1613        -1.0157
     15.8642         0.1621        -1.0157
     15.9313         0.1629        -1.0157
     15.8154         0.1637        -1.0157
     15.8878         0.1645        -1.0157
     15.7584         0.1653        -1.0157
     15.8343         0.1661        -1.0157
     15.7247         0.1669        -1.0157
     15.7916         0.1677        -1.0157
     15.6679         0.1686        -1.0157
     15.7382         0.1694        -1.0157
     15.6166         0.1703        -1.0157
     15.6855         0.1711        -1.0157
     15.5519         0.1719        -1.0157
     15.6300         0.1728        -1.0157
     15.4899         0.1736        -1.0157
     15.5857         0.1745        -1.0157
     15.4543         0.1754        -1.0157
     15.5341         0.1762        -1.0157
     15.4051         0.1771        -1.0157
     15.4806         0.1780        -1.0157
     15.3513         0.1788        -1.0157
     15.4214         0.1797        -1.0157
     15.3134         0.1806        -1.0157
     15.3959         0.1815        -1.0157
     15.2781         0.1824        -1.0157
     15.3499         0.1832        -1.0157
     15.2364         0.1841        -1.0157
     15.3034         0.1850        -1.0157
     15.1996         0.1859        -1.0157
     15.2784         0.1868        -1.0157
     15.1806         0.1878        -1.0157
     15.2426         0.1887        -1.0157
     15.1477         0.1896        -1.0157
     15.2287         0.1905        -1.1611
     13.6360         0.1914        -1.1611
     13.5505         0.1921        -1.1611
     13.5078         0.1928        -1.1611
     13.4954         0.1936        -1.1611
     13.4789         0.1943        -1.1611
     13.4667         0.1950        -1.1611
