        rmsthk      stdthk       rmsvel       stdvel       rmsdiv       stddiv       rmsusurf       stdusurf       vol
3.6637804508 18.3274631500 -22.4632225037 32.9006347656 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7334585190
3.6640088558 18.3263149261 -22.4647483826 32.9103240967 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7335224152
3.6642038822 18.3253307343 -22.4645061493 32.9099197388 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7335777283
3.6643817425 18.3244361877 -22.4642391205 32.9095535278 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7336292267
3.6645483971 18.3235969543 -22.4640350342 32.9092483521 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7336759567
3.6647086143 18.3227939606 -22.4638576508 32.9090042114 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7337198257
3.6648628712 18.3220157623 -22.4636554718 32.9087295532 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7337646484
3.6650140285 18.3212528229 -22.4634799957 32.9084892273 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7338075638
3.6651632786 18.3205032349 -22.4632911682 32.9082832336 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7338504791
3.6653110981 18.3197593689 -22.4631443024 32.9080657959 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7338924408
3.6654577255 18.3190212250 -22.4629631042 32.9078292847 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7339344025
3.6656045914 18.3182830811 -22.4627799988 32.9075889587 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7339763641
3.6657512188 18.3175449371 -22.4626102448 32.9073905945 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7340164185
3.6658980846 18.3168048859 -22.4624099731 32.9071083069 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7340583801
3.6660456657 18.3160610199 -22.4622249603 32.9068412781 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7341012955
3.6661942005 18.3153152466 -22.4620304108 32.9065933228 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7341432571
3.6663434505 18.3145618439 -22.4618568420 32.9063682556 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7341852188
3.6664948463 18.3138065338 -22.4616794586 32.9061164856 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7342281342
3.6666467190 18.3130397797 -22.4615058899 32.9058570862 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7342710495
3.6668002605 18.3122673035 -22.4613342285 32.9056320190 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7343149185
3.6669554710 18.3114891052 -22.4611911774 32.9054069519 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7343597412
3.6671118736 18.3106994629 -22.4609947205 32.9051132202 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7344017029
3.6672704220 18.3099060059 -22.4608020782 32.9048500061 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7344474792
3.6674304008 18.3091011047 -22.4606323242 32.9045867920 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7344942093
3.6675918102 18.3082866669 -22.4604320526 32.9043159485 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7345380783
3.6677558422 18.3074665070 -22.4602413177 32.9040374756 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7345857620
3.6679210663 18.3066349030 -22.4600257874 32.9037704468 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7346324921
3.6680879593 18.3057956696 -22.4598407745 32.9035148621 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7346792221
3.6682569981 18.3049430847 -22.4596462250 32.9032630920 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7347278595
3.6684279442 18.3040866852 -22.4594364166 32.9029884338 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7347755432
3.6686010361 18.3032169342 -22.4592056274 32.9026641846 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7348251343
3.6687760353 18.3023395538 -22.4589843750 32.9024009705 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7348737717
3.6689529419 18.3014507294 -22.4587535858 32.9020919800 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7349252701
3.6691315174 18.3005542755 -22.4585437775 32.9018135071 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7349758148
3.6693120003 18.2996482849 -22.4583110809 32.9014930725 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7350273132
3.6694946289 18.2987308502 -22.4581375122 32.9012145996 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7350788116
3.6696791649 18.2978057861 -22.4579257965 32.9009056091 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7351312637
3.6698653698 18.2968692780 -22.4576816559 32.9005165100 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7351827621
3.6700541973 18.2959251404 -22.4574813843 32.9002647400 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7352361679
3.6702439785 18.2949695587 -22.4572296143 32.8999023438 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7352905273
3.6704359055 18.2940044403 -22.4570045471 32.8996009827 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7353448868
3.6706302166 18.2930316925 -22.4567508698 32.8992538452 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7354011536
3.6708261967 18.2920475006 -22.4565219879 32.8989295959 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7354555130
3.6710243225 18.2910556793 -22.4562931061 32.8986167908 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7355117798
3.6712236404 18.2900543213 -22.4560661316 32.8982849121 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7355709076
3.6714248657 18.2890434265 -22.4558315277 32.8979797363 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7356271744
3.6716287136 18.2880249023 -22.4555912018 32.8976516724 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7356853485
3.6718337536 18.2869968414 -22.4553642273 32.8973236084 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7357425690
3.6720409393 18.2859573364 -22.4551105499 32.8969573975 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7357997894
3.6722493172 18.2849121094 -22.4548454285 32.8965835571 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7358598709
3.6722366810 18.2835559845 -15.4044723511 33.1049423218 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7358560562
3.6722238064 18.2821884155 -15.4042491913 33.1043853760 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7358512878
3.6722111702 18.2808094025 -15.4040803909 33.1039390564 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7358493805
3.6721971035 18.2794189453 -15.4039211273 33.1034812927 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7358436584
3.6721835136 18.2780189514 -15.4037456512 33.1029624939 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7358398438
3.6721704006 18.2766056061 -15.4035234451 33.1024513245 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7358379364
3.6721563339 18.2751827240 -15.4033212662 33.1020202637 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7358331680
3.6721427441 18.2737503052 -15.4031791687 33.1015167236 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7358283997
3.6721286774 18.2723064423 -15.4030141830 33.1010131836 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7358255386
3.6721146107 18.2708511353 -15.4027891159 33.1005325317 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7358217239
3.6721003056 18.2693881989 -15.4025993347 33.0999832153 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7358169556
3.6720860004 18.2679138184 -15.4023876190 33.0994377136 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7358140945
3.6720716953 18.2664279938 -15.4021873474 33.0988883972 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7358102798
3.6720573902 18.2649345398 -15.4019908905 33.0983276367 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7358045578
3.6720426083 18.2634296417 -15.4017477036 33.0977554321 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7358007431
3.6720275879 18.2619132996 -15.4015245438 33.0972976685 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7357969284
3.6720128059 18.2603893280 -15.4012975693 33.0967483521 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7357931137
3.6719975471 18.2588539124 -15.4011096954 33.0962371826 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7357873917
3.6719825268 18.2573108673 -15.4009075165 33.0957183838 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7357826233
3.6719670296 18.2557563782 -15.4006958008 33.0951576233 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7357778549
3.6719517708 18.2541942596 -15.4005250931 33.0945968628 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7357749939
3.6719357967 18.2526226044 -15.4003381729 33.0940055847 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7357711792
3.6719205379 18.2510433197 -15.4001703262 33.0934829712 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7357664108
3.6719040871 18.2494506836 -15.3999214172 33.0929183960 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7357625961
3.6718881130 18.2478523254 -15.3996791840 33.0924072266 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7357578278
3.6718721390 18.2462444305 -15.3994693756 33.0917739868 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7357540131
3.6718559265 18.2446250916 -15.3992786407 33.0911293030 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7357482910
3.6718397141 18.2430019379 -15.3990278244 33.0905532837 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7357425690
3.6718232632 18.2413673401 -15.3987989426 33.0900154114 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7357387543
3.6718065739 18.2397232056 -15.3985738754 33.0894470215 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7357330322
3.6717901230 18.2380733490 -15.3983421326 33.0888633728 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7357292175
3.6717734337 18.2364101410 -15.3980731964 33.0883026123 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7357244492
3.6717562675 18.2347431183 -15.3978672028 33.0877189636 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7357196808
3.6717393398 18.2330646515 -15.3976478577 33.0871467590 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7357149124
3.6717224121 18.2313823700 -15.3973970413 33.0865440369 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7357101440
3.6717045307 18.2296886444 -15.3971872330 33.0860023499 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7357044220
3.6716873646 18.2279872894 -15.3969373703 33.0853729248 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7357006073
3.6716697216 18.2262763977 -15.3967170715 33.0847282410 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7356948853
3.6716520786 18.2245616913 -15.3964767456 33.0840873718 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7356901169
3.6716344357 18.2228355408 -15.3962192535 33.0834808350 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7356863022
3.6716165543 18.2211036682 -15.3959732056 33.0828819275 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7356796265
3.6715981960 18.2193622589 -15.3957118988 33.0822525024 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7356758118
3.6715803146 18.2176151276 -15.3954935074 33.0816001892 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7356700897
3.6715617180 18.2158603668 -15.3952426910 33.0809249878 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7356643677
3.6715438366 18.2140979767 -15.3950042725 33.0803070068 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7356586456
3.6715254784 18.2123260498 -15.3947706223 33.0796127319 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7356529236
3.6715066433 18.2105464935 -15.3945493698 33.0790214539 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7356500626
3.6714873314 18.2087631226 -15.3942823410 33.0783882141 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7356443405
3.6714687347 18.2069721222 -15.3940792084 33.0777854919 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7356386185
3.6714501381 18.2051715851 -15.3938264847 33.0771026611 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7356338501
3.6712806225 18.2032012939 -12.1965532303 34.1951942444 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7355833054
3.6711101532 18.2012195587 -12.1963529587 34.1945266724 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7355365753
3.6709401608 18.1992321014 -12.1961746216 34.1938095093 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7354879379
3.6707684994 18.1972389221 -12.1959762573 34.1930694580 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7354402542
3.6705961227 18.1952362061 -12.1957921982 34.1923484802 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7353916168
3.6704232693 18.1932258606 -12.1956787109 34.1916198730 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7353410721
3.6702492237 18.1912078857 -12.1954479218 34.1908836365 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7352933884
3.6700754166 18.1891860962 -12.1951932907 34.1901779175 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7352428436
3.6699001789 18.1871528625 -12.1949987411 34.1895332336 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7351922989
3.6697242260 18.1851139069 -12.1948041916 34.1888008118 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7351436615
3.6695477962 18.1830692291 -12.1946058273 34.1881141663 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7350931168
3.6693708897 18.1810131073 -12.1944284439 34.1873664856 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7350444794
3.6691930294 18.1789550781 -12.1942567825 34.1866416931 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7349929810
3.6690146923 18.1768875122 -12.1940832138 34.1859169006 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7349424362
3.6688351631 18.1748142242 -12.1939067841 34.1852302551 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7348918915
3.6686551571 18.1727333069 -12.1936893463 34.1844863892 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7348403931
