     velsurf       thk_regu           glen
     30.8487         3.0247        -0.8321
     31.7341         3.1044        -0.8321
     31.7334         3.1043        -0.8321
     31.7328         3.1042        -0.8321
     31.7324         3.1041        -0.8321
     31.7320         3.1040        -0.8321
     31.7315         3.1039        -0.8321
     31.7311         3.1038        -0.8321
     31.7308         3.1037        -0.8321
     31.7304         3.1036        -0.8321
     31.7300         3.1036        -0.8321
     31.7296         3.1035        -0.8321
     31.7293         3.1034        -0.8321
     31.7288         3.1033        -0.8321
     31.7284         3.1032        -0.8321
     31.7280         3.1031        -0.8321
     31.7276         3.1031        -0.8321
     31.7272         3.1030        -0.8321
     31.7268         3.1029        -0.8321
     31.7265         3.1028        -0.8321
     31.7261         3.1027        -0.8321
     31.7256         3.1026        -0.8321
     31.7252         3.1026        -0.8321
     31.7248         3.1025        -0.8321
     31.7244         3.1024        -0.8321
     31.7239         3.1023        -0.8321
     31.7235         3.1022        -0.8321
     31.7231         3.1021        -0.8321
     31.7226         3.1020        -0.8321
     31.7222         3.1019        -0.8321
     31.7217         3.1018        -0.8321
     31.7212         3.1017        -0.8321
     31.7207         3.1016        -0.8321
     31.7202         3.1015        -0.8321
     31.7197         3.1014        -0.8321
     31.7193         3.1013        -0.8321
     31.7188         3.1012        -0.8321
     31.7182         3.1011        -0.8321
     31.7178         3.1010        -0.8321
     31.7172         3.1009        -0.8321
     31.7167         3.1008        -0.8321
     31.7162         3.1007        -0.8321
     31.7157         3.1006        -0.8321
     31.7151         3.1005        -0.8321
     31.7146         3.1004        -0.8321
     31.7141         3.1003        -0.8321
     31.7136         3.1002        -0.8321
     31.7131         3.1001        -0.8321
     31.7125         3.1000        -0.8321
     31.7119         3.0999        -0.8868
     27.7736         3.0997        -0.8868
     27.7729         3.0996        -0.8868
     27.7723         3.0995        -0.8868
     27.7717         3.0994        -0.8868
     27.7711         3.0993        -0.8868
     27.7704         3.0992        -0.8868
     27.7698         3.0990        -0.8868
     27.7692         3.0989        -0.8868
     27.7685         3.0988        -0.8868
     27.7679         3.0987        -0.8868
     27.7672         3.0986        -0.8868
     27.7665         3.0984        -0.8868
     27.7658         3.0983        -0.8868
     27.7651         3.0982        -0.8868
     27.7643         3.0981        -0.8868
     27.7637         3.0979        -0.8868
     27.7630         3.0978        -0.8868
     27.7623         3.0977        -0.8868
     27.7616         3.0976        -0.8868
     27.7609         3.0974        -0.8868
     27.7602         3.0973        -0.8868
     27.7594         3.0972        -0.8868
     27.7588         3.0970        -0.8868
     27.7580         3.0969        -0.8868
     27.7573         3.0968        -0.8868
     27.7566         3.0966        -0.8868
     27.7558         3.0965        -0.8868
     27.7550         3.0964        -0.8868
     27.7543         3.0962        -0.8868
     27.7535         3.0961        -0.8868
     27.7528         3.0960        -0.8868
     27.7520         3.0958        -0.8868
     27.7513         3.0957        -0.8868
     27.7505         3.0956        -0.8868
     27.7497         3.0954        -0.8868
     27.7490         3.0953        -0.8868
     27.7482         3.0951        -0.8868
     27.7474         3.0950        -0.8868
     27.7466         3.0949        -0.8868
     27.7458         3.0947        -0.8868
     27.7450         3.0946        -0.8868
     27.7442         3.0944        -0.8868
     27.7433         3.0943        -0.8868
     27.7424         3.0942        -0.8868
     27.7416         3.0940        -0.8868
     27.7408         3.0939        -0.8868
     27.7400         3.0937        -0.8868
     27.7392         3.0936        -0.8868
     27.7384         3.0934        -0.8868
     27.7375         3.0933        -0.9465
     27.7133         3.0931        -0.9465
     27.7124         3.0930        -0.9465
     27.7115         3.0928        -0.9465
     27.7106         3.0927        -0.9465
     27.7097         3.0925        -0.9465
     27.7088         3.0924        -0.9465
     27.7079         3.0922        -0.9465
     27.7069         3.0921        -0.9465
     27.7061         3.0919        -0.9465
     27.7052         3.0918        -0.9465
     27.7044         3.0916        -0.9465
     27.7034         3.0915        -0.9465
     27.7025         3.0913        -0.9465
     27.7016         3.0911        -0.9465
     27.7007         3.0910        -0.9465
     27.6998         3.0908        -0.9465
     27.6989         3.0907        -0.9465
     27.6979         3.0905        -0.9465
     27.6969         3.0904        -0.9465
     27.6960         3.0902        -0.9465
     27.6951         3.0900        -0.9465
     27.6942         3.0899        -0.9465
     27.6933         3.0897        -0.9465
     27.6923         3.0896        -0.9465
     27.6914         3.0894        -0.9465
     27.6904         3.0892        -0.9465
     27.6895         3.0891        -0.9465
     27.6884         3.0889        -0.9465
     27.6875         3.0887        -0.9465
     27.6866         3.0886        -0.9465
     27.6856         3.0884        -0.9465
     27.6847         3.0883        -0.9465
     27.6837         3.0881        -0.9465
     27.6827         3.0879        -0.9465
     27.6816         3.0878        -0.9465
     27.6807         3.0876        -0.9465
     27.6797         3.0874        -0.9465
     27.6787         3.0873        -0.9465
     27.6776         3.0871        -0.9465
     27.6767         3.0869        -0.9465
     27.6757         3.0868        -0.9465
     27.6746         3.0866        -0.9465
     27.6736         3.0864        -0.9465
     27.6726         3.0863        -0.9465
     27.6716         3.0861        -0.9465
     27.6706         3.0859        -0.9465
     27.6696         3.0858        -0.9465
     27.6686         3.0856        -0.9465
     27.6675         3.0854        -0.9465
     27.6664         3.0853        -0.9980
     28.1460         3.0851        -0.9980
     28.1449         3.0849        -0.9980
     28.1438         3.0847        -0.9980
     28.1427         3.0846        -0.9980
     28.1416         3.0844        -0.9980
     28.1404         3.0842        -0.9980
     28.1393         3.0840        -0.9980
     28.1383         3.0839        -0.9980
     28.1372         3.0837        -0.9980
     28.1362         3.0835        -0.9980
     28.1351         3.0833        -0.9980
     28.1339         3.0831        -0.9980
     28.1328         3.0830        -0.9980
     28.1317         3.0828        -0.9980
     28.1306         3.0826        -0.9980
     28.1295         3.0824        -0.9980
     28.1284         3.0823        -0.9980
     28.1272         3.0821        -0.9980
     28.1260         3.0819        -0.9980
     28.1248         3.0817        -0.9980
     28.1237         3.0815        -0.9980
     28.1225         3.0814        -0.9980
     28.1214         3.0812        -0.9980
     28.1203         3.0810        -0.9980
     28.1191         3.0808        -0.9980
     28.1179         3.0806        -0.9980
     28.1167         3.0804        -0.9980
     28.1155         3.0803        -0.9980
     28.1143         3.0801        -0.9980
     28.1131         3.0799        -0.9980
     28.1119         3.0797        -0.9980
     28.1108         3.0795        -0.9980
     28.1097         3.0794        -0.9980
     28.1085         3.0792        -0.9980
     28.1073         3.0790        -0.9980
     28.1061         3.0788        -0.9980
     28.1049         3.0786        -0.9980
     28.1039         3.0784        -0.9980
     28.1026         3.0783        -0.9980
     28.1015         3.0781        -0.9980
     28.1003         3.0779        -0.9980
     28.0992         3.0777        -0.9980
     28.0981         3.0775        -0.9980
     28.0969         3.0773        -0.9980
     28.0957         3.0772        -0.9980
     28.0943         3.0770        -0.9980
     28.0931         3.0768        -0.9980
     28.0919         3.0766        -0.9980
     28.0907         3.0764        -0.9980
     28.0895         3.0762        -1.0433
     29.1733         3.0761        -1.0433
     29.1721         3.0759        -1.0433
     29.1708         3.0757        -1.0433
     29.1695         3.0755        -1.0433
     29.1683         3.0753        -1.0433
     29.1669         3.0751        -1.0433
     29.1657         3.0749        -1.0433
     29.1642         3.0747        -1.0433
     29.1628         3.0745        -1.0433
     29.1616         3.0743        -1.0433
     29.1602         3.0741        -1.0433
     29.1591         3.0739        -1.0433
     29.1578         3.0737        -1.0433
     29.1565         3.0735        -1.0433
     29.1551         3.0733        -1.0433
     29.1539         3.0731        -1.0433
     29.1526         3.0729        -1.0433
     29.1512         3.0728        -1.0433
     29.1499         3.0726        -1.0433
     29.1486         3.0724        -1.0433
     29.1472         3.0722        -1.0433
     29.1458         3.0720        -1.0433
     29.1444         3.0718        -1.0433
     29.1432         3.0716        -1.0433
     29.1418         3.0714        -1.0433
     29.1406         3.0712        -1.0433
     29.1392         3.0710        -1.0433
     29.1378         3.0708        -1.0433
     29.1364         3.0706        -1.0433
     29.1350         3.0704        -1.0433
     29.1338         3.0702        -1.0433
     29.1324         3.0700        -1.0433
     29.1310         3.0698        -1.0433
     29.1297         3.0696        -1.0433
     29.1283         3.0694        -1.0433
     29.1270         3.0692        -1.0433
     29.1257         3.0690        -1.0433
     29.1244         3.0689        -1.0433
     29.1229         3.0687        -1.0433
     29.1216         3.0685        -1.0433
     29.1203         3.0683        -1.0433
     29.1189         3.0681        -1.0433
     29.1175         3.0679        -1.0433
     29.1162         3.0677        -1.0433
     29.1150         3.0675        -1.0433
     29.1135         3.0673        -1.0433
     29.1122         3.0671        -1.0433
     29.1108         3.0669        -1.0433
     29.1094         3.0667        -1.0433
     29.1080         3.0665        -1.0829
     30.7407         3.0663        -1.0829
     30.7392         3.0661        -1.0829
     30.7377         3.0659        -1.0829
     30.7363         3.0657        -1.0829
     30.7348         3.0655        -1.0829
     30.7333         3.0653        -1.0829
     30.7317         3.0651        -1.0829
     30.7303         3.0649        -1.0829
     30.7288         3.0647        -1.0829
     30.7273         3.0645        -1.0829
     30.7259         3.0643        -1.0829
     30.7244         3.0641        -1.0829
     30.7230         3.0638        -1.0829
     30.7214         3.0636        -1.0829
     30.7199         3.0634        -1.0829
     30.7184         3.0632        -1.0829
     30.7169         3.0630        -1.0829
     30.7153         3.0628        -1.0829
     30.7138         3.0626        -1.0829
     30.7124         3.0624        -1.0829
     30.7109         3.0622        -1.0829
     30.7094         3.0620        -1.0829
     30.7080         3.0618        -1.0829
     30.7064         3.0616        -1.0829
     30.7048         3.0614        -1.0829
     30.7033         3.0612        -1.0829
     30.7019         3.0610        -1.0829
     30.7003         3.0608        -1.0829
     30.6990         3.0606        -1.0829
     30.6974         3.0604        -1.0829
     30.6960         3.0602        -1.0829
     30.6945         3.0600        -1.0829
     30.6930         3.0597        -1.0829
     30.6914         3.0595        -1.0829
     30.6900         3.0593        -1.0829
     30.6884         3.0591        -1.0829
     30.6870         3.0589        -1.0829
     30.6854         3.0587        -1.0829
     30.6839         3.0585        -1.0829
     30.6824         3.0583        -1.0829
     30.6808         3.0581        -1.0829
     30.6792         3.0579        -1.0829
     30.6776         3.0577        -1.0829
     30.6760         3.0575        -1.0829
     30.6744         3.0573        -1.0829
     30.6729         3.0571        -1.0829
     30.6714         3.0569        -1.0829
     30.6698         3.0567        -1.0829
     30.6682         3.0565        -1.0829
     30.6667         3.0563        -1.1171
     32.7281         3.0561        -1.1171
     32.7265         3.0559        -1.1171
     32.7249         3.0557        -1.1171
     32.7232         3.0554        -1.1171
     32.7215         3.0552        -1.1171
     32.7198         3.0550        -1.1171
     32.7181         3.0548        -1.1171
     32.7163         3.0546        -1.1171
     32.7148         3.0544        -1.1171
     32.7130         3.0542        -1.1171
     32.7115         3.0540        -1.1171
     32.7099         3.0537        -1.1171
     32.7083         3.0535        -1.1171
     32.7067         3.0533        -1.1171
     32.7050         3.0531        -1.1171
     32.7033         3.0529        -1.1171
     32.7016         3.0527        -1.1171
     32.6999         3.0525        -1.1171
     32.6983         3.0523        -1.1171
     32.6966         3.0521        -1.1171
     32.6950         3.0518        -1.1171
     32.6933         3.0516        -1.1171
     32.6914         3.0514        -1.1171
     32.6898         3.0512        -1.1171
     32.6881         3.0510        -1.1171
     32.6865         3.0508        -1.1171
     32.6848         3.0506        -1.1171
     32.6830         3.0504        -1.1171
     32.6813         3.0502        -1.1171
     32.6797         3.0500        -1.1171
     32.6780         3.0497        -1.1171
     32.6763         3.0495        -1.1171
     32.6746         3.0493        -1.1171
     32.6728         3.0491        -1.1171
     32.6710         3.0489        -1.1171
     32.6692         3.0487        -1.1171
     32.6675         3.0485        -1.1171
     32.6658         3.0483        -1.1171
     32.6640         3.0481        -1.1171
     32.6622         3.0479        -1.1171
     32.6605         3.0477        -1.1171
     32.6588         3.0475        -1.1171
     32.6571         3.0472        -1.1171
     32.6554         3.0470        -1.1171
     32.6537         3.0468        -1.1171
     32.6521         3.0466        -1.1171
     32.6503         3.0464        -1.1171
     32.6486         3.0462        -1.1171
     32.6468         3.0460        -1.1171
     32.6450         3.0458        -1.1459
     35.0059         3.0456        -1.1459
     35.0040         3.0454        -1.1459
     35.0023         3.0452        -1.1459
     35.0004         3.0449        -1.1459
     34.9986         3.0447        -1.1459
     34.9967         3.0445        -1.1459
     34.9947         3.0443        -1.1459
     34.9927         3.0441        -1.1459
     34.9907         3.0439        -1.1459
     34.9887         3.0437        -1.1459
     34.9868         3.0435        -1.1459
     34.9849         3.0432        -1.1459
     34.9830         3.0430        -1.1459
     34.9813         3.0428        -1.1459
     34.9795         3.0426        -1.1459
     34.9776         3.0424        -1.1459
     34.9758         3.0422        -1.1459
     34.9739         3.0420        -1.1459
     34.9719         3.0418        -1.1459
     34.9700         3.0416        -1.1459
     34.9680         3.0413        -1.1459
     34.9660         3.0411        -1.1459
     34.9642         3.0409        -1.1459
     34.9623         3.0407        -1.1459
     34.9604         3.0405        -1.1459
     34.9586         3.0403        -1.1459
     34.9566         3.0401        -1.1459
     34.9547         3.0399        -1.1459
     34.9528         3.0397        -1.1459
     34.9509         3.0395        -1.1459
     34.9491         3.0392        -1.1459
     34.9473         3.0390        -1.1459
     34.9453         3.0388        -1.1459
     34.9435         3.0386        -1.1459
     34.9416         3.0384        -1.1459
     34.9397         3.0382        -1.1459
     34.9379         3.0380        -1.1459
     34.9360         3.0378        -1.1459
     34.9340         3.0376        -1.1459
     34.9321         3.0374        -1.1459
     34.9302         3.0372        -1.1459
     34.9284         3.0370        -1.1459
     34.9266         3.0367        -1.1459
     34.9246         3.0365        -1.1459
     34.9227         3.0363        -1.1459
     34.9208         3.0361        -1.1459
     34.9188         3.0359        -1.1459
     34.9170         3.0357        -1.1459
     34.9150         3.0355        -1.1459
     34.9131         3.0353        -1.1699
     37.4268         3.0351        -1.1699
     37.4249         3.0349        -1.1699
     37.4227         3.0347        -1.1699
     37.4207         3.0345        -1.1699
     37.4185         3.0342        -1.1699
     37.4165         3.0340        -1.1699
     37.4145         3.0338        -1.1699
     37.4125         3.0336        -1.1699
     37.4103         3.0334        -1.1699
     37.4080         3.0332        -1.1699
     37.4059         3.0330        -1.1699
     37.4038         3.0328        -1.1699
     37.4017         3.0326        -1.1699
     37.3996         3.0323        -1.1699
     37.3975         3.0321        -1.1699
     37.3955         3.0319        -1.1699
     37.3906         3.0317        -1.1699
     37.3914         3.0315        -1.1699
     37.3863         3.0313        -1.1699
     37.3871         3.0311        -1.1699
     37.3822         3.0309        -1.1699
     37.3831         3.0307        -1.1699
     37.3781         3.0305        -1.1699
     37.3788         3.0303        -1.1699
     37.3738         3.0300        -1.1699
     37.3747         3.0298        -1.1699
     37.3698         3.0296        -1.1699
     37.3706         3.0294        -1.1699
     37.3656         3.0292        -1.1699
     37.3665         3.0290        -1.1699
     37.3615         3.0288        -1.1699
     37.3622         3.0286        -1.1699
     37.3573         3.0284        -1.1699
     37.3580         3.0282        -1.1699
     37.3532         3.0280        -1.1699
     37.3537         3.0278        -1.1699
     37.3488         3.0276        -1.1699
     37.3496         3.0274        -1.1699
     37.3446         3.0272        -1.1699
     37.3454         3.0270        -1.1699
     37.3403         3.0267        -1.1699
     37.3412         3.0265        -1.1699
     37.3362         3.0263        -1.1699
     37.3371         3.0261        -1.1699
     37.3322         3.0259        -1.1699
     37.3330         3.0257        -1.1699
     37.3281         3.0255        -1.1699
     37.3289         3.0253        -1.1699
     37.3241         3.0251        -1.1699
     37.3248         3.0249        -1.1894
     39.8604         3.0247        -1.1894
     39.8609         3.0245        -1.1894
     39.8557         3.0243        -1.1894
     39.8564         3.0241        -1.1894
     39.8514         3.0239        -1.1894
     39.8519         3.0237        -1.1894
     39.8468         3.0234        -1.1894
     39.8474         3.0232        -1.1894
     39.8423         3.0230        -1.1894
