X,Y,Alt,Annual_SMB (m w.e.),Year
367556.23807623994,5095445.185049293,2461.1,-4.451114189189189,2005
367750.92162255547,5095517.265214404,2461.6,-5.330675675675676,2007
367555.06000143103,5095451.407240796,2462.7,-4.655407122905028,2004
367556.76498228684,5095451.673839086,2466.0,-3.768310975609756,2003
367757.47361551493,5095504.638749261,2466.0,-5.1034102209944745,2006
367378.1386956056,5095403.076044132,2467.5,-3.4158016759776535,2004
367378.4641765248,5095399.270200734,2468.0,-3.180636486486487,2005
367555.36962312734,5095451.901113377,2469.4,-4.9625702479338845,2002
367379.20878961135,5095401.5553142065,2471.0,-2.975451219512195,2003
367755.59025211504,5095505.475489767,2471.9,-4.682110135135136,2005
367555.60471985996,5095453.696264034,2472.5,-4.09993125,2001
367554.47987020965,5095452.418453266,2474.8,-3.4260257255936675,2000
367755.0963799808,5095505.785111642,2475.1,-5.233889664804469,2004
367369.4395296532,5095397.946980919,2475.5,-3.993601239669421,2002
367366.3919879055,5095400.606248952,2476.8,-3.469875,2001
367750.71390416275,5095516.869334423,2480.8,-4.26429375,2001
367754.2437857327,5095508.201460681,2480.9,-4.169195121951219,2003
367754.2437857327,5095508.201460681,2480.9,-4.998793388429752,2002
367366.45673604956,5095398.805230668,2482.4,-3.3392908970976256,2000
367754.4495484336,5095508.49739282,2485.6,-3.4954135883905013,2000
367919.47643921094,5095281.09963305,2514.9,-4.022794889502762,2006
367892.9805298989,5094586.116141917,2567.8,-3.535344339622642,2020
368034.40342977556,5094695.633291035,2568.6,-3.774578167115903,2020
368238.05155008263,5094827.32949599,2569.0,-4.013811994609164,2020
368246.1670664564,5094823.071290935,2576.1,-5.655585734870317,2019
368246.8942899917,5094819.357588912,2579.9,-4.391766,2018
368250.2962032425,5094824.590272049,2583.1,-4.634931440443213,2017
368245.88873534295,5094824.176580149,2587.1,-5.278988605898124,2016
368245.3125173099,5094825.387683616,2589.2,-3.6230443548387097,2015
368248.0543354673,5094822.434449918,2595.9,-5.178544520547946,2014
368248.0543354673,5094822.434449918,2595.9,-3.5619258760107813,2012
368248.0543354673,5094822.434449918,2595.9,-3.6178642241379313,2013
368245.93001543276,5094821.176199649,2602.0,-4.60215,2011
368246.67462627945,5094823.4613030255,2605.9,-4.663729338842975,2010
368663.55982077145,5094376.067667559,2607.5,-3.5619258760107813,2020
368248.4734684604,5094828.525380515,2608.4,-4.253557005494506,2008
368248.4734684604,5094828.525380515,2608.4,-3.937374651810585,2009
368469.7996411498,5094279.573168068,2612.6,-3.6771125336927226,2020
368239.536860693,5094831.699807921,2612.9,-4.634047843665767,2007
368662.10210766754,5094367.997362566,2613.0,-4.225110951008646,2019
368662.8899524206,5094367.382034768,2616.1,-3.690486,2018
368301.47061898676,5094195.079133145,2616.8,-3.39357614555256,2020
368470.8073734612,5094269.754868649,2618.2,-3.7988105187319885,2019
368230.97636274225,5094838.766321317,2618.9,-4.346168067226891,2004
368237.3165041972,5094830.6434081895,2618.9,-3.402436657681941,2005
368663.595449782,5094367.668187724,2619.3,-3.733441828254848,2017
368474.3094393645,5094269.886322129,2620.9,-4.190148,2018
368310.1156403344,5094182.111846982,2622.6,-3.779863832853026,2019
368213.88988892344,5094824.002784706,2622.7,-3.697042682926829,2003
368663.29169695545,5094367.474159849,2622.8,-4.177363270777479,2016
368476.31816235546,5094270.346949328,2623.3,-4.052150277008311,2017
368663.29951911594,5094367.873948835,2625.3,-3.0044758064516133,2015
368313.16316695546,5094179.452599798,2625.6,-3.848274,2018
368476.31816235546,5094270.346949328,2626.5,-4.1068592493297595,2016
368312.66516336007,5094184.661592347,2627.8,-3.9793026315789475,2017
368476.28491952794,5094268.647845545,2628.9,-3.3402701612903223,2015
368311.96357676305,5094184.575332771,2631.0,-4.203802278820375,2016
368666.12150856346,5094369.018560644,2631.1,-2.7556192722371966,2012
368666.12150856346,5094369.018560644,2631.1,-2.899959051724138,2013
