        rmsthk      stdthk       rmsvel       stdvel       rmsdiv       stddiv       rmsusurf       stdusurf       vol
3.6961128712 18.1505126953 -18.1028480530 30.8764724731 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7426261902
3.7216029167 18.0217857361 -18.0679359436 30.8159465790 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7498550415
3.7435069084 17.9135379791 -18.0330295563 30.7660751343 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7560644150
3.7634687424 17.8168811798 -18.0027618408 30.7231750488 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7617263794
3.7822058201 17.7277679443 -17.9725971222 30.6865253448 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7670383453
3.8001794815 17.6439304352 -17.9497680664 30.6480388641 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7721366882
3.8176088333 17.5640144348 -17.9222927094 30.6156311035 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7770776749
3.8347265720 17.4870872498 -17.9044132233 30.5776596069 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7819309235
3.8515975475 17.4125595093 -17.8797569275 30.5443859100 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7867155075
3.8683557510 17.3399562836 -17.8603172302 30.5093650818 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7914676666
3.8850317001 17.2689876556 -17.8347358704 30.4797477722 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7961959839
3.9017252922 17.1993999481 -17.8180541992 30.4437198639 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.8009300232
3.9184279442 17.1310195923 -17.7895126343 30.4164257050 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.8056659698
3.9352357388 17.0636825562 -17.7740669250 30.3798294067 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.8104324341
3.9521348476 16.9973468781 -17.7515392303 30.3483486176 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.8152236938
3.9691641331 16.9319324493 -17.7285308838 30.3165493011 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.8200531006
3.9863209724 16.8674144745 -17.7028560638 30.2869396210 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.8249187469
4.0036740303 16.8037281036 -17.6863098145 30.2507438660 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.8298387527
4.0211806297 16.7409057617 -17.6571159363 30.2229785919 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.8348045349
4.0389003754 16.6789302826 -17.6376590729 30.1877441406 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.8398256302
4.0568122864 16.6178550720 -17.6142120361 30.1553230286 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.8449058533
4.0749502182 16.5576629639 -17.5900821686 30.1220226288 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.8500499725
4.0933008194 16.4984092712 -17.5641422272 30.0907115936 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.8552522659
4.1119589806 16.4400787354 -17.5568523407 30.0440826416 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.8605442047
4.1308436394 16.3828067780 -17.5324440002 30.0086841583 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.8658990860
4.1499948502 16.3266239166 -17.5113487244 29.9719505310 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.8713283539
4.1694049835 16.2715911865 -17.4906387329 29.9336299896 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.8768329620
4.1890754700 16.2177333832 -17.4635848999 29.9004974365 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.8824100494
4.2089900970 16.1651630402 -17.4370002747 29.8655242920 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.8880577087
4.2291789055 16.1139163971 -17.4166584015 29.8304939270 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.8937826157
4.2496142387 16.0640983582 -17.3886890411 29.7950019836 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.8995761871
4.2703433037 16.0157489777 -17.3666076660 29.7564773560 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.9054546356
4.2912993431 15.9690065384 -17.3351192474 29.7225494385 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.9113969803
4.3125467300 15.9239091873 -17.3101348877 29.6853561401 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.9174213409
4.3340640068 15.8805351257 -17.2839164734 29.6460437775 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.9235239029
4.3558444977 15.8389987946 -17.2547950745 29.6110248566 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.9297018051
4.3778781891 15.7993745804 -17.2249717712 29.5735530853 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.9359474182
4.4002194405 15.7617044449 -17.2010307312 29.5329627991 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.9422826767
