     velsurf       thk_regu           glen
     25.8661         0.3025        -0.9202
     26.6115         0.3110        -0.9202
     26.5403         0.3114        -0.9202
     26.4785         0.3117        -0.9202
     26.4243         0.3121        -0.9202
     26.3711         0.3124        -0.9202
     26.3230         0.3127        -0.9202
     26.2730         0.3130        -0.9202
     26.2263         0.3134        -0.9202
     26.1787         0.3137        -0.9202
     26.1348         0.3140        -0.9202
     26.0878         0.3143        -0.9202
     26.0450         0.3147        -0.9202
     25.9986         0.3150        -0.9202
     25.9546         0.3154        -0.9202
     25.9091         0.3158        -0.9202
     25.8656         0.3161        -0.9202
     25.8182         0.3165        -0.9202
     25.7750         0.3169        -0.9202
     25.7280         0.3173        -0.9202
     25.6829         0.3177        -0.9202
     25.6358         0.3182        -0.9202
     25.5909         0.3186        -0.9202
     25.5392         0.3191        -0.9202
     25.4906         0.3195        -0.9202
     25.4413         0.3200        -0.9202
     25.3913         0.3205        -0.9202
     25.3440         0.3210        -0.9202
     25.2947         0.3215        -0.9202
     25.2486         0.3220        -0.9202
     25.1984         0.3226        -0.9202
     25.1482         0.3231        -0.9202
     25.0979         0.3237        -0.9202
     25.0476         0.3243        -0.9202
     24.9950         0.3249        -0.9202
     24.9449         0.3255        -0.9202
     24.8923         0.3261        -0.9202
     24.8397         0.3268        -0.9202
     24.7870         0.3275        -0.9202
     24.7348         0.3281        -0.9202
     24.6796         0.3288        -0.9202
     24.6275         0.3296        -0.9202
     24.5726         0.3303        -0.9202
     24.5176         0.3311        -0.9202
     24.4628         0.3318        -0.9202
     24.4088         0.3326        -0.9202
     24.3493         0.3334        -0.9202
     24.2976         0.3342        -0.9202
     24.2387         0.3351        -0.9202
     24.1846         0.3359        -0.9760
     21.1982         0.3368        -0.9760
     21.1337         0.3375        -0.9760
     21.0733         0.3381        -0.9760
     21.0119         0.3388        -0.9760
     20.9477         0.3395        -0.9760
     20.8912         0.3403        -0.9760
     20.8295         0.3410        -0.9760
     20.7731         0.3418        -0.9760
     20.7022         0.3426        -0.9760
     20.6458         0.3434        -0.9760
     20.5849         0.3442        -0.9760
     20.5287         0.3450        -0.9760
     20.4653         0.3459        -0.9760
     20.4075         0.3467        -0.9760
     20.3360         0.3476        -0.9760
     20.2801         0.3485        -0.9760
     20.2158         0.3495        -0.9760
     20.1563         0.3504        -0.9760
     20.0969         0.3514        -0.9760
     20.0390         0.3524        -0.9760
     19.9704         0.3534        -0.9760
     19.9140         0.3544        -0.9760
     19.8486         0.3554        -0.9760
     19.7800         0.3565        -0.9760
     19.7229         0.3576        -0.9760
     19.6599         0.3587        -0.9760
     19.5944         0.3598        -0.9760
     19.5347         0.3609        -0.9760
     19.4741         0.3621        -0.9760
     19.4098         0.3633        -0.9760
     19.3460         0.3645        -0.9760
     19.2873         0.3657        -0.9760
     19.2196         0.3669        -0.9760
     19.1625         0.3682        -0.9760
     19.1027         0.3694        -0.9760
     19.0433         0.3707        -0.9760
     18.9777         0.3720        -0.9760
     18.9265         0.3734        -0.9760
     18.8591         0.3747        -0.9760
     18.8040         0.3761        -0.9760
     18.7437         0.3775        -0.9760
     18.6810         0.3789        -0.9760
     18.6268         0.3803        -0.9760
     18.5767         0.3817        -0.9760
     18.5118         0.3832        -0.9760
     18.4552         0.3847        -0.9760
     18.4022         0.3862        -0.9760
     18.3448         0.3877        -0.9760
     18.2829         0.3892        -0.9760
     18.2265         0.3907        -0.9497
     18.1137         0.3923        -0.9497
     18.0424         0.3939        -0.9497
     17.9806         0.3954        -0.9497
     17.9340         0.3971        -0.9497
     17.8739         0.3987        -0.9497
     17.8299         0.4003        -0.9497
     17.7682         0.4020        -0.9497
     17.7200         0.4037        -0.9497
     17.6564         0.4054        -0.9497
     17.6117         0.4071        -0.9497
     17.5519         0.4088        -0.9497
     17.5079         0.4106        -0.9497
     17.4474         0.4124        -0.9497
     17.3985         0.4142        -0.9497
     17.3403         0.4160        -0.9497
     17.2984         0.4178        -0.9497
     17.2429         0.4197        -0.9497
     17.1966         0.4215        -0.9497
     17.1336         0.4234        -0.9497
     17.0917         0.4253        -0.9497
     17.0287         0.4273        -0.9497
     16.9906         0.4292        -0.9497
     16.9412         0.4311        -0.9497
     16.8989         0.4331        -0.9497
     16.8364         0.4351        -0.9497
     16.8021         0.4371        -0.9497
     16.7428         0.4391        -0.9497
     16.6983         0.4412        -0.9497
     16.6393         0.4432        -0.9497
     16.6107         0.4453        -0.9497
     16.5402         0.4474        -0.9497
     16.5229         0.4495        -0.9497
     16.4668         0.4516        -0.9497
     16.4410         0.4537        -0.9497
     16.3729         0.4558        -0.9497
     16.3500         0.4580        -0.9497
     16.2870         0.4602        -0.9497
     16.2732         0.4623        -0.9497
     16.1929         0.4645        -0.9497
     16.1946         0.4667        -0.9497
     16.1050         0.4690        -0.9497
     16.1222         0.4712        -0.9497
     16.0229         0.4734        -0.9497
     16.0427         0.4757        -0.9497
     15.9363         0.4780        -0.9497
     15.9753         0.4802        -0.9497
     15.8763         0.4825        -0.9497
     15.9067         0.4848        -0.9497
     15.7935         0.4871        -0.9497
     15.8234         0.4894        -1.0289
     14.9588         0.4918        -1.0289
     14.9479         0.4939        -1.0289
     14.8346         0.4960        -1.0289
     14.8682         0.4981        -1.0289
     14.7686         0.5002        -1.0289
     14.7941         0.5024        -1.0289
     14.6984         0.5045        -1.0289
     14.7188         0.5067        -1.0289
     14.6278         0.5089        -1.0289
     14.6496         0.5111        -1.0289
     14.5656         0.5133        -1.0289
     14.5851         0.5155        -1.0289
     14.4863         0.5177        -1.0289
     14.5077         0.5200        -1.0289
     14.4216         0.5222        -1.0289
     14.4459         0.5245        -1.0289
     14.3647         0.5268        -1.0289
     14.3808         0.5290        -1.0289
     14.2872         0.5313        -1.0289
     14.3476         0.5336        -1.0289
     14.2680         0.5359        -1.0289
     14.3071         0.5382        -1.0289
     14.2132         0.5406        -1.0289
     14.2463         0.5429        -1.0289
     14.1648         0.5452        -1.0289
     14.2037         0.5476        -1.0289
     14.1317         0.5499        -1.0289
     14.1681         0.5522        -1.0289
     14.0868         0.5546        -1.0289
     14.1332         0.5570        -1.0289
     14.0416         0.5593        -1.0289
     14.0835         0.5617        -1.0289
     14.0072         0.5641        -1.0289
     14.0434         0.5664        -1.0289
     13.9686         0.5688        -1.0289
     14.0035         0.5712        -1.0289
     13.9441         0.5736        -1.0289
     13.9983         0.5760        -1.0289
     13.9243         0.5784        -1.0289
     13.9610         0.5808        -1.0289
     13.9008         0.5832        -1.0289
     13.9265         0.5856        -1.0289
     13.8441         0.5880        -1.0289
     13.8943         0.5904        -1.0289
     13.8122         0.5929        -1.0289
     13.8560         0.5953        -1.0289
     13.7695         0.5977        -1.0289
     13.8308         0.6001        -1.0289
     13.7490         0.6025        -1.0289
     13.7969         0.6050        -1.2354
