X,Y,Alt,Annual_SMB (m w.e.)
425816.6666666667,5139183.333333333,1792.6270751953125,-13.709444444444445
426029.3103448276,5139577.586206896,1857.4644775390625,-14.111888888888888
426807.37704918033,5139966.393442623,1950.962158203125,-12.938777777777778
427546.3855421687,5140682.530120482,2051.064453125,-11.985222222222223
427850.5617977528,5141980.898876404,2150.4111328125,-10.436666666666666
428810.4166666667,5142929.166666667,2247.74462890625,-9.395611111111112
429166.7938931298,5144520.229007633,2351.802001953125,-7.5325
428755.1724137931,5146439.08045977,2452.8681640625,-6.122722222222222
427772.5961538461,5147934.134615385,2544.565185546875,-4.782944444444444
426947.14285714284,5149062.380952381,2646.50537109375,-3.783
425675.5183413078,5150339.314194578,2754.17236328125,-2.7476111111111114
424797.64705882355,5150838.823529412,2847.13671875,-1.4929444444444444
423939.0243902439,5150323.475609756,2951.02392578125,-0.5195
423930.4958677686,5150448.181818182,3050.98681640625,0.27355555555555555
424140.5737704918,5151070.491803279,3150.844970703125,0.9153333333333333
424310.17369727045,5152098.759305211,3250.79736328125,1.4578333333333333
424139.1165172855,5152794.942381562,3351.448486328125,1.7744444444444443
423618.74236874236,5153137.545787546,3450.98681640625,1.6256666666666668
422959.41475826973,5152651.145038168,3548.326416015625,1.6198333333333332
423051.646090535,5152646.913580247,3644.26171875,1.6970555555555558
423125.4464285714,5152668.303571428,3746.17578125,1.6710555555555557
422323.4693877551,5152148.979591837,3838.55419921875,1.6362222222222222
421850.0,5150986.363636363,3942.02099609375,1.3736666666666668
422710.0,5148550.0,4050.063232421875,1.192
