X,Y,Alt,Annual_SMB (m w.e.)
425875.0,5139375.0,1763.97607421875,-14.280375
426401.16279069765,5139777.9069767445,1856.17041015625,-14.986875
427221.6417910448,5140226.119402985,1953.73876953125,-13.7035
427620.6896551724,5141247.413793104,2062.15283203125,-12.6515
428150.0,5142416.12021858,2154.938232421875,-11.04175
429047.19101123593,5143304.494382023,2255.557861328125,-9.82
429164.552238806,5144931.7164179105,2350.961669921875,-7.768125
428572.79202279204,5146796.723646724,2447.60302734375,-6.299875
427505.1219512195,5148285.12195122,2553.8291015625,-4.783
426682.7659574468,5149521.489361702,2660.662353515625,-3.799875
425434.6875,5150415.9375,2749.39111328125,-2.82325
424697.510373444,5150820.746887967,2851.40576171875,-1.566125
423862.40188383043,5150323.626373626,2949.95654296875,-0.586875
424026.3819095477,5150496.231155779,3051.86572265625,0.265375
424153.74479889043,5151173.162274619,3150.542236328125,0.947375
424331.19658119656,5152165.628815629,3250.14599609375,1.505
424077.8731836195,5152795.046235139,3352.14208984375,1.800375
423614.200477327,5153108.233890215,3451.028564453125,1.5855
423147.7991746905,5152744.497936727,3548.450927734375,1.5865
422743.92156862747,5152437.647058823,3643.555419921875,1.7045
422942.1296296296,5152674.074074074,3744.8291015625,1.685
422613.63636363635,5152189.393939394,3838.805908203125,1.63
421611.90476190473,5150673.80952381,3936.050537109375,1.357125
422683.3333333333,5148200.0,4058.447998046875,1.24125
