        rmsthk      stdthk       rmsvel       stdvel       rmsdiv       stddiv       rmsusurf       stdusurf       vol
3.6655235291 18.3123092651 -21.9031333923 31.7190666199 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7339515686
3.6670336723 18.3000316620 -21.9005470276 31.7235107422 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7343797684
3.6683251858 18.2895221710 -21.8974170685 31.7201366425 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7347459793
3.6694972515 18.2799835205 -21.8948078156 31.7172718048 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7350797653
3.6705946922 18.2710533142 -21.8924865723 31.7147121429 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7353887558
3.6716423035 18.2625236511 -21.8901805878 31.7121582031 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7356872559
3.6726560593 18.2542705536 -21.8880443573 31.7097911835 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7359752655
3.6736464500 18.2462120056 -21.8859939575 31.7075157166 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7362556458
3.6746203899 18.2382812500 -21.8839664459 31.7052631378 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7365331650
3.6755833626 18.2304363251 -21.8819561005 31.7031230927 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7368049622
3.6765403748 18.2226467133 -21.8800182343 31.7010345459 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7370767593
3.6774938107 18.2148838043 -21.8779830933 31.6988677979 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7373466492
3.6784460545 18.2071304321 -21.8759918213 31.6966228485 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7376165390
3.6793992519 18.1993694305 -21.8740215302 31.6944503784 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7378873825
3.6803553104 18.1915836334 -21.8720703125 31.6922550201 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7381572723
3.6813154221 18.1837654114 -21.8700370789 31.6899299622 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7384300232
3.6822819710 18.1759052277 -21.8680839539 31.6879215240 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7387046814
3.6832532883 18.1679973602 -21.8660507202 31.6856822968 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7389802933
3.6842317581 18.1600322723 -21.8640308380 31.6835975647 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7392578125
3.6852178574 18.1520042419 -21.8619995117 31.6813831329 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7395362854
3.6862127781 18.1439132690 -21.8599376678 31.6790180206 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7398185730
3.6872155666 18.1357517242 -21.8577575684 31.6766452789 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7401046753
3.6882278919 18.1275177002 -21.8556594849 31.6743907928 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7403907776
3.6892497540 18.1192092896 -21.8535919189 31.6721725464 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7406816483
3.6902811527 18.1108245850 -21.8514194489 31.6698417664 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7409715652
3.6913218498 18.1023616791 -21.8492450714 31.6674194336 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7412681580
3.6923727989 18.0938205719 -21.8469734192 31.6648845673 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7415647507
3.6934337616 18.0851993561 -21.8448257446 31.6625270844 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7418670654
3.6945052147 18.0764961243 -21.8424873352 31.6599235535 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7421703339
3.6955869198 18.0677127838 -21.8402118683 31.6574459076 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7424774170
3.6966788769 18.0588474274 -21.8378925323 31.6550064087 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7427873611
3.6977806091 18.0499019623 -21.8355560303 31.6524162292 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7431001663
3.6988930702 18.0408725739 -21.8333110809 31.6499862671 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7434148788
3.7000160217 18.0317668915 -21.8308601379 31.6472034454 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7437324524
3.7011492252 18.0225811005 -21.8284282684 31.6445541382 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7440528870
3.7022924423 18.0133132935 -21.8260040283 31.6419258118 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7443790436
3.7034456730 18.0039710999 -21.8234825134 31.6391830444 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7447042465
3.7046089172 17.9945468903 -21.8209972382 31.6364994049 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7450361252
3.7057824135 17.9850482941 -21.8185234070 31.6338043213 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7453689575
3.7069656849 17.9754734039 -21.8160343170 31.6310138702 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7457036972
3.7081587315 17.9658241272 -21.8134326935 31.6281547546 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7460432053
3.7093615532 17.9561004639 -21.8107585907 31.6252460480 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7463827133
3.7105734348 17.9463062286 -21.8081073761 31.6223621368 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7467279434
3.7117948532 17.9364395142 -21.8055400848 31.6195869446 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7470741272
3.7130258083 17.9265041351 -21.8028926849 31.6166477203 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7474222183
3.7142663002 17.9165000916 -21.8002033234 31.6137580872 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7477731705
3.7155160904 17.9064292908 -21.7974643707 31.6106891632 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7481279373
3.7167744637 17.8962917328 -21.7946987152 31.6076221466 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7484855652
3.7180414200 17.8860912323 -21.7919712067 31.6046428680 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7488431931
3.7193171978 17.8758277893 -21.7890815735 31.6015682220 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7492055893
3.7183561325 17.8623905182 -14.5296478271 31.7793846130 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7489328384
3.7173841000 17.8488674164 -14.5271844864 31.7750625610 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7486572266
3.7164015770 17.8352603912 -14.5249471664 31.7709026337 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7483787537
