     velsurf       thk_regu           glen
     29.1767         3.0247        -0.8494
     30.0614         3.1029        -0.8494
     30.0556         3.1016        -0.8494
     30.0508         3.1005        -0.8494
     30.0464         3.0996        -0.8494
     30.0421         3.0987        -0.8494
     30.0381         3.0978        -0.8494
     30.0342         3.0969        -0.8494
     30.0304         3.0961        -0.8494
     30.0267         3.0953        -0.8494
     30.0232         3.0946        -0.8494
     30.0195         3.0938        -0.8494
     30.0157         3.0930        -0.8494
     30.0120         3.0923        -0.8494
     30.0083         3.0915        -0.8494
     30.0044         3.0907        -0.8494
     30.0009         3.0900        -0.8494
     29.9971         3.0892        -0.8494
     29.9935         3.0884        -0.8494
     29.9897         3.0877        -0.8494
     29.9858         3.0869        -0.8494
     29.9817         3.0861        -0.8494
     29.9779         3.0854        -0.8494
     29.9741         3.0846        -0.8494
     29.9701         3.0838        -0.8494
     29.9660         3.0830        -0.8494
     29.9618         3.0822        -0.8494
     29.9578         3.0814        -0.8494
     29.9534         3.0807        -0.8494
     29.9492         3.0799        -0.8494
     29.9450         3.0791        -0.8494
     29.9406         3.0782        -0.8494
     29.9364         3.0774        -0.8494
     29.9318         3.0766        -0.8494
     29.9273         3.0758        -0.8494
     29.9228         3.0750        -0.8494
     29.9181         3.0742        -0.8494
     29.9136         3.0734        -0.8494
     29.9090         3.0725        -0.8494
     29.9043         3.0717        -0.8494
     29.8995         3.0709        -0.8494
     29.8946         3.0700        -0.8494
     29.8896         3.0692        -0.8494
     29.8849         3.0684        -0.8494
     29.8799         3.0675        -0.8494
     29.8750         3.0667        -0.8494
     29.8699         3.0659        -0.8494
     29.8647         3.0650        -0.8494
     29.8597         3.0642        -0.8494
     29.8544         3.0634        -0.9032
     25.9698         3.0625        -0.9032
     25.9641         3.0616        -0.9032
     25.9586         3.0607        -0.9032
     25.9530         3.0598        -0.9032
     25.9474         3.0589        -0.9032
     25.9417         3.0580        -0.9032
     25.9359         3.0571        -0.9032
     25.9299         3.0563        -0.9032
     25.9240         3.0554        -0.9032
     25.9182         3.0545        -0.9032
     25.9123         3.0536        -0.9032
     25.9063         3.0527        -0.9032
     25.9003         3.0518        -0.9032
     25.8942         3.0509        -0.9032
     25.8883         3.0500        -0.9032
     25.8822         3.0492        -0.9032
     25.8757         3.0483        -0.9032
     25.8695         3.0474        -0.9032
     25.8632         3.0465        -0.9032
     25.8571         3.0457        -0.9032
     25.8508         3.0448        -0.9032
     25.8444         3.0439        -0.9032
     25.8380         3.0431        -0.9032
     25.8313         3.0422        -0.9032
     25.8248         3.0414        -0.9032
     25.8183         3.0405        -0.9032
     25.8118         3.0397        -0.9032
     25.8051         3.0388        -0.9032
     25.7986         3.0380        -0.9032
     25.7919         3.0372        -0.9032
     25.7852         3.0363        -0.9032
     25.7786         3.0355        -0.9032
     25.7716         3.0347        -0.9032
     25.7647         3.0339        -0.9032
     25.7581         3.0331        -0.9032
     25.7514         3.0323        -0.9032
     25.7443         3.0315        -0.9032
     25.7373         3.0307        -0.9032
     25.7305         3.0299        -0.9032
     25.7234         3.0291        -0.9032
     25.7165         3.0283        -0.9032
     25.7092         3.0275        -0.9032
     25.7023         3.0268        -0.9032
     25.6951         3.0260        -0.9032
     25.6877         3.0252        -0.9032
     25.6807         3.0245        -0.9032
     25.6736         3.0237        -0.9032
     25.6662         3.0230        -0.9032
     25.6589         3.0223        -0.9032
     25.6489         3.0215        -0.9508
     25.5783         3.0208        -0.9508
     25.5710         3.0200        -0.9508
     25.5609         3.0192        -0.9508
     25.5558         3.0184        -0.9508
     25.5483         3.0176        -0.9508
     25.5382         3.0168        -0.9508
     25.5333         3.0160        -0.9508
     25.5255         3.0153        -0.9508
     25.5153         3.0145        -0.9508
     25.5102         3.0137        -0.9508
     25.5026         3.0130        -0.9508
     25.4923         3.0122        -0.9508
     25.4871         3.0115        -0.9508
     25.4792         3.0108        -0.9508
     25.4689         3.0100        -0.9508
     25.4637         3.0093        -0.9508
     25.4556         3.0086        -0.9508
     25.4452         3.0079        -0.9508
     25.4399         3.0072        -0.9508
     25.4321         3.0065        -0.9508
     25.4215         3.0059        -0.9508
     25.4161         3.0052        -0.9508
     25.4081         3.0045        -0.9508
     25.3974         3.0039        -0.9508
     25.3920         3.0032        -0.9508
     25.3840         3.0026        -0.9508
     25.3734         3.0019        -0.9508
     25.3679         3.0013        -0.9508
     25.3597         3.0007        -0.9508
     25.3488         3.0001        -0.9508
     25.3434         2.9995        -0.9508
     25.3352         2.9989        -0.9508
     25.3242         2.9983        -0.9508
     25.3186         2.9977        -0.9508
     25.3103         2.9971        -0.9508
     25.2996         2.9965        -0.9508
     25.2939         2.9960        -0.9508
     25.2855         2.9954        -0.9508
     25.2744         2.9949        -0.9508
     25.2689         2.9943        -0.9508
     25.2604         2.9938        -0.9508
     25.2493         2.9933        -0.9508
     25.2436         2.9927        -0.9508
     25.2352         2.9922        -0.9508
     25.2242         2.9917        -0.9508
     25.2183         2.9912        -0.9508
     25.2098         2.9908        -0.9508
     25.1987         2.9903        -0.9508
     25.1928         2.9898        -0.9508
     25.1840         2.9893        -0.9753
     25.4783         2.9889        -0.9753
     25.4762         2.9883        -0.9753
     25.4636         2.9877        -0.9753
     25.4563         2.9872        -0.9753
     25.4463         2.9866        -0.9753
     25.4413         2.9861        -0.9753
     25.4261         2.9856        -0.9753
     25.4238         2.9851        -0.9753
     25.4111         2.9846        -0.9753
     25.4037         2.9841        -0.9753
     25.3936         2.9836        -0.9753
     25.3848         2.9831        -0.9753
     25.3731         2.9826        -0.9753
     25.3670         2.9821        -0.9753
     25.3582         2.9817        -0.9753
     25.3467         2.9812        -0.9753
     25.3403         2.9808        -0.9753
     25.3315         2.9803        -0.9753
     25.3199         2.9799        -0.9753
     25.3136         2.9795        -0.9753
     25.3047         2.9791        -0.9753
     25.2930         2.9787        -0.9753
     25.2867         2.9783        -0.9753
     25.2777         2.9779        -0.9753
     25.2658         2.9775        -0.9753
     25.2596         2.9772        -0.9753
     25.2508         2.9768        -0.9753
     25.2391         2.9764        -0.9753
     25.2326         2.9761        -0.9753
     25.2235         2.9758        -0.9753
     25.2117         2.9754        -0.9753
     25.2052         2.9751        -0.9753
     25.1962         2.9748        -0.9753
     25.1844         2.9745        -0.9753
     25.1780         2.9742        -0.9753
     25.1689         2.9739        -0.9753
     25.1571         2.9736        -0.9753
