survey_id,date,elevation_date,latitude,longitude,elevation,thickness,thickness_uncertainty,flag,rgi_id,x_proj,y_proj,i_grid,j_grid,ij_grid
197,2008-02-26,2008-02-26,45.9790188,7.8697769,3491.0,52,,,RGI60-11.02773,-56.787081257143,5091716.341432319,144,138,0144_0138
197,2008-02-26,2008-02-26,45.9790221,7.8697813,3491.0,52,,,RGI60-11.02773,-56.44624697024861,5091716.7080804715,144,138,0144_0138
197,2008-02-26,2008-02-26,45.9790253,7.8697857,3491.0,52,,,RGI60-11.02773,-56.10541282472377,5091717.063617999,144,138,0144_0138
197,2008-02-26,2008-02-26,45.9790286,7.8697901,3491.0,52,,,RGI60-11.02773,-55.76457861808083,5091717.430266189,144,138,0144_0138
197,2008-02-26,2008-02-26,45.9790319,7.8697945,3491.0,53,,,RGI60-11.02773,-55.42374445205515,5091717.796914399,144,138,0144_0138
197,2008-02-26,2008-02-26,45.9790351,7.8697989,3491.0,53,,,RGI60-11.02773,-55.08291042568163,5091718.152451984,144,138,0144_0138
197,2008-02-26,2008-02-26,45.9790384,7.8698033,3491.0,53,,,RGI60-11.02773,-54.742076339907406,5091718.519100231,144,138,0144_0138
197,2008-02-26,2008-02-26,45.9790418,7.8698078,3491.0,53,,,RGI60-11.02773,-54.39349604236166,5091718.896859075,144,138,0144_0138
197,2008-02-26,2008-02-26,45.979045,7.8698122,3491.0,53,,,RGI60-11.02773,-54.05266213607599,5091719.252396717,144,138,0144_0138
197,2008-02-26,2008-02-26,45.9790483,7.8698166,3491.0,53,,,RGI60-11.02773,-53.71182817224428,5091719.619045022,144,138,0144_0138
197,2008-02-26,2008-02-26,45.9790516,7.869821,3491.0,53,,,RGI60-11.02773,-53.370994249029835,5091719.985693346,144,138,0144_0138
197,2008-02-26,2008-02-26,45.9790548,7.8698254,3491.0,53,,,RGI60-11.02773,-53.03016046177235,5091720.341231045,144,138,0144_0138
197,2008-02-26,2008-02-26,45.9790581,7.8698298,3491.0,53,,,RGI60-11.02773,-52.6893266188094,5091720.707879409,144,138,0144_0138
197,2008-02-26,2008-02-26,45.9790614,7.8698342,3491.0,53,,,RGI60-11.02773,-52.348492816463796,5091721.07452779,144,138,0144_0138
197,2008-02-26,2008-02-26,45.9790647,7.8698387,3491.0,53,,,RGI60-11.02773,-51.999912903347656,5091721.441176125,144,138,0144_0138
197,2008-02-26,2008-02-26,45.979068,7.8698431,3491.0,53,,,RGI60-11.02773,-51.65907918245047,5091721.807824545,144,138,0144_0138
197,2008-02-26,2008-02-26,45.9790712,7.8698475,3491.0,53,,,RGI60-11.02773,-51.31824559430533,5091722.163362339,144,138,0144_0138
197,2008-02-26,2008-02-26,45.9790745,7.8698519,3491.0,54,,,RGI60-11.02773,-50.97741195378288,5091722.530010797,144,138,0144_0138
197,2008-02-26,2008-02-26,45.9790778,7.8698563,3491.0,54,,,RGI60-11.02773,-50.63657835363134,5091722.8966592755,144,138,0144_0138
