     velsurf       thk_regu           glen
     27.2396         0.9074        -0.8795
     27.9684         0.9316        -0.8795
     27.9086         0.9319        -0.8795
     27.8557         0.9322        -0.8795
     27.8014         0.9325        -0.8795
     27.7625         0.9329        -0.8795
     27.7193         0.9333        -0.8795
     27.6718         0.9337        -0.8795
     27.6375         0.9342        -0.8795
     27.5976         0.9347        -0.8795
     27.5496         0.9352        -0.8795
     27.5192         0.9358        -0.8795
     27.4777         0.9364        -0.8795
     27.4356         0.9370        -0.8795
     27.4003         0.9377        -0.8795
     27.3633         0.9384        -0.8795
     27.3158         0.9391        -0.8795
     27.2850         0.9399        -0.8795
     27.2430         0.9407        -0.8795
     27.1999         0.9416        -0.8795
     27.1635         0.9425        -0.8795
     27.1261         0.9434        -0.8795
     27.0752         0.9444        -0.8795
     27.0447         0.9455        -0.8795
     26.9990         0.9465        -0.8795
     26.9538         0.9477        -0.8795
     26.9158         0.9488        -0.8795
     26.8771         0.9500        -0.8795
     26.8248         0.9513        -0.8795
     26.7901         0.9526        -0.8795
     26.7425         0.9539        -0.8795
     26.6989         0.9553        -0.8795
     26.6550         0.9568        -0.8795
     26.6150         0.9583        -0.8795
     26.5596         0.9599        -0.8795
     26.5272         0.9615        -0.8795
     26.4737         0.9631        -0.8795
     26.4279         0.9648        -0.8795
     26.3840         0.9666        -0.8795
     26.3412         0.9684        -0.8795
     26.2825         0.9703        -0.8795
     26.2495         0.9722        -0.8795
     26.1943         0.9742        -0.8795
     26.1467         0.9762        -0.8795
     26.1003         0.9783        -0.8795
     26.0561         0.9804        -0.8795
     25.9925         0.9826        -0.8795
     25.9582         0.9849        -0.8795
     25.9042         0.9872        -0.8795
     25.8486         0.9895        -1.0548
     22.0716         0.9919        -1.0548
     22.0133         0.9937        -1.0548
     21.9665         0.9955        -1.0548
     21.9182         0.9973        -1.0548
     21.8745         0.9993        -1.0548
     21.8098         1.0012        -1.0548
     21.7781         1.0033        -1.0548
     21.7194         1.0054        -1.0548
     21.6757         1.0075        -1.0548
     21.6137         1.0097        -1.0548
     21.5791         1.0120        -1.0548
     21.5061         1.0143        -1.0548
     21.4715         1.0167        -1.0548
     21.4106         1.0191        -1.0548
     21.3720         1.0216        -1.0548
     21.3012         1.0242        -1.0548
     21.2755         1.0268        -1.0548
     21.1930         1.0294        -1.0548
     21.1674         1.0321        -1.0548
     21.0955         1.0349        -1.0548
     21.0673         1.0377        -1.0548
