        rmsthk      stdthk       rmsvel       stdvel       rmsdiv       stddiv       rmsusurf       stdusurf       vol
3.6635060310 18.3288936615 -24.3019332886 35.6082382202 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7333803177
3.6635308266 18.3288002014 -24.3001937866 35.6167984009 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7333869934
3.6635522842 18.3287162781 -24.3001728058 35.6167716980 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7333936691
3.6635720730 18.3286418915 -24.3001499176 35.6167488098 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7333984375
3.6635901928 18.3285713196 -24.3001251221 35.6167221069 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7334032059
3.6636073589 18.3285045624 -24.3001041412 35.6167068481 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7334079742
3.6636247635 18.3284397125 -24.3000888824 35.6166915894 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7334146500
3.6636409760 18.3283748627 -24.3000755310 35.6166725159 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7334194183
3.6636576653 18.3283138275 -24.3000621796 35.6166648865 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7334241867
3.6636741161 18.3282489777 -24.3000431061 35.6166381836 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7334289551
3.6636900902 18.3281898499 -24.3000297546 35.6166343689 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7334327698
3.6637060642 18.3281250000 -24.3000011444 35.6166076660 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7334375381
3.6637220383 18.3280639648 -24.2999801636 35.6165924072 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7334423065
3.6637384892 18.3280029297 -24.2999591827 35.6165771484 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7334480286
3.6637549400 18.3279399872 -24.2999324799 35.6165428162 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7334508896
3.6637706757 18.3278770447 -24.2999210358 35.6165275574 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7334556580
3.6637876034 18.3278160095 -24.2999134064 35.6165199280 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7334613800
3.6638040543 18.3277511597 -24.2998924255 35.6165008545 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7334651947
3.6638212204 18.3276882172 -24.2998809814 35.6164817810 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7334699631
3.6638374329 18.3276233673 -24.2998600006 35.6164627075 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7334756851
3.6638541222 18.3275566101 -24.2998390198 35.6164283752 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7334785461
3.6638717651 18.3274898529 -24.2998256683 35.6164093018 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7334842682
