        rmsthk      stdthk       rmsvel       stdvel       rmsdiv       stddiv       rmsusurf       stdusurf       vol
3.6497573853 18.2220668793 -23.6598205566 35.4155693054 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7294826508
3.6359035969 18.1457080841 -23.6449413300 35.3881568909 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7255525589
3.6226565838 18.0819892883 -23.6331443787 35.3617248535 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7217969894
3.6096229553 18.0257320404 -23.6231327057 35.3388938904 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7181005478
3.5966649055 17.9745044708 -23.6142082214 35.3179168701 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7144279480
3.5837149620 17.9269886017 -23.6060562134 35.2981491089 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7107543945
3.5707054138 17.8823699951 -23.5981845856 35.2793579102 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7070665359
3.5575926304 17.8400573730 -23.5908565521 35.2611198425 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7033472061
3.5443239212 17.7996845245 -23.5835304260 35.2431755066 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.6995849609
3.5308659077 17.7609901428 -23.5764141083 35.2254943848 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.6957683563
3.5172169209 17.7237491608 -23.5694828033 35.2078857422 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.6918992996
3.5033547878 17.6877899170 -23.5624580383 35.1903381348 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.6879673004
3.4892709255 17.6529960632 -23.5555667877 35.1728401184 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.6839742661
3.4749584198 17.6193008423 -23.5486488342 35.1552963257 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.6799173355
3.4604055882 17.5866203308 -23.5418319702 35.1377067566 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.6757907867
3.4456093311 17.5549030304 -23.5350284576 35.1201133728 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.6715936661
3.4305598736 17.5241298676 -23.5281314850 35.1022605896 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.6673259735
3.4152443409 17.4943027496 -23.5212326050 35.0844116211 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.6629838943
3.3996660709 17.4654216766 -23.5141868591 35.0660820007 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.6585645676
3.3838126659 17.4374866486 -23.5071754456 35.0479164124 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.6540699005
3.3676729202 17.4105014801 -23.5001296997 35.0292282104 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.6494941711
3.3512430191 17.3844776154 -23.4929637909 35.0105133057 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.6448335648
3.3345103264 17.3594379425 -23.4857349396 34.9915351868 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.6400890350
3.3174698353 17.3354053497 -23.4784412384 34.9722442627 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.6352577209
3.3001227379 17.3124122620 -23.4710826874 34.9529075623 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.6303367615
3.2824578285 17.2904777527 -23.4636554718 34.9332733154 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.6253299713
3.2644705772 17.2696399689 -23.4566001892 34.9133186340 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.6202297211
3.2461647987 17.2499256134 -23.4491024017 34.8931922913 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.6150407791
3.2275493145 17.2313766479 -23.4413852692 34.8728561401 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.6097612381
