     velsurf       thk_regu           glen
     34.6923         9.0741        -0.8155
     35.4531         9.2227        -0.8155
     35.4127         9.1590        -0.8155
     35.3779         9.1074        -0.8155
     35.3463         9.0625        -0.8155
     35.3166         9.0220        -0.8155
     35.2884         8.9847        -0.8155
     35.2612         8.9497        -0.8155
     35.2344         8.9166        -0.8155
     35.2081         8.8850        -0.8155
     35.1820         8.8546        -0.8155
     35.1559         8.8254        -0.8155
     35.1301         8.7971        -0.8155
     35.1042         8.7696        -0.8155
     35.0783         8.7429        -0.8155
     35.0524         8.7169        -0.8155
     35.0262         8.6915        -0.8155
     34.9999         8.6667        -0.8155
     34.9731         8.6424        -0.8155
     34.9465         8.6187        -0.8155
     34.9192         8.5955        -0.8155
     34.8919         8.5728        -0.8155
     34.8642         8.5506        -0.8155
     34.8362         8.5288        -0.8155
     34.8080         8.5074        -0.8155
     34.7795         8.4865        -0.8155
     34.7507         8.4660        -0.8155
     34.7217         8.4459        -0.8155
     34.6922         8.4263        -0.8155
     34.6623         8.4071        -0.8155
     34.6322         8.3883        -0.8155
     34.6017         8.3699        -0.8155
     34.5711         8.3519        -0.8155
     34.5403         8.3343        -0.8155
     34.5088         8.3171        -0.8155
     34.4772         8.3002        -0.8155
     34.4454         8.2838        -0.8155
     34.4132         8.2678        -0.8155
     34.3807         8.2522        -0.8155
     34.3481         8.2370        -0.8155
     34.3142         8.2222        -0.8155
     34.2813         8.2078        -0.8155
     34.2475         8.1939        -0.8155
     34.2135         8.1805        -0.8155
     34.1793         8.1674        -0.8155
     34.1446         8.1549        -0.8155
     34.1099         8.1427        -0.8155
     34.0749         8.1310        -0.8155
     34.0395         8.1197        -0.8155
     34.0038         8.1089        -0.8622
     28.8853         8.0985        -0.8622
     28.8457         8.0864        -0.8622
     28.8054         8.0749        -0.8622
     28.7651         8.0639        -0.8622
     28.7245         8.0534        -0.8622
     28.6841         8.0433        -0.8622
     28.6424         8.0336        -0.8622
     28.6017         8.0244        -0.8622
     28.5603         8.0156        -0.8622
     28.5157         8.0072        -0.8622
     28.4772         7.9992        -0.8622
     28.4359         7.9917        -0.8622
     28.3906         7.9846        -0.8622
     28.3516         7.9778        -0.8622
     28.3101         7.9715        -0.8622
     28.2652         7.9656        -0.8622
     28.2251         7.9601        -0.8622
     28.1803         7.9550        -0.8622
     28.1398         7.9504        -0.8622
     28.0954         7.9461        -0.8622
     28.0547         7.9422        -0.8622
     28.0100         7.9387        -0.8622
     27.9693         7.9357        -0.8622
     27.9244         7.9329        -0.8622
     27.8837         7.9306        -0.8622
     27.8388         7.9286        -0.8622
     27.7976         7.9271        -0.8622
     27.7538         7.9258        -0.8622
     27.7093         7.9249        -0.8622
     27.6694         7.9244        -0.8622
     27.6290         7.9242        -0.8622
     27.5816         7.9243        -0.8622
     27.5452         7.9248        -0.8622
     27.4979         7.9256        -0.8622
     27.4550         7.9267        -0.8622
     27.4117         7.9281        -0.8622
     27.3687         7.9298        -0.8622
     27.3255         7.9319        -0.8622
     27.2830         7.9342        -0.8622
     27.2418         7.9368        -0.8622
     27.1947         7.9397        -0.8622
     27.1561         7.9429        -0.8622
     27.1083         7.9463        -0.8622
     27.0660         7.9500        -0.8622
     27.0257         7.9540        -0.8622
     26.9855         7.9582        -0.8622
     26.9469         7.9626        -0.8622
     26.9000         7.9673        -0.8622
     26.8606         7.9721        -0.8622
     26.8184         7.9773        -0.7761
     26.7044         7.9826        -0.7761
     26.6610         7.9922        -0.7761
     26.6209         8.0021        -0.7761
     26.5765         8.0121        -0.7761
     26.5295         8.0223        -0.7761
     26.4841         8.0326        -0.7761
     26.4468         8.0430        -0.7761
     26.3988         8.0535        -0.7761
