     velsurf       thk_regu           glen
     33.1031         3.0247        -0.8170
     33.7371         3.0772        -0.8170
     33.6104         3.0610        -0.8170
     33.5017         3.0499        -0.8170
     33.4033         3.0418        -0.8170
     33.3112         3.0356        -0.8170
     33.2234         3.0310        -0.8170
     33.1389         3.0276        -0.8170
     33.0561         3.0252        -0.8170
     32.9748         3.0236        -0.8170
     32.8947         3.0228        -0.8170
     32.8153         3.0227        -0.8170
     32.7363         3.0232        -0.8170
     32.6577         3.0243        -0.8170
     32.5791         3.0259        -0.8170
     32.5005         3.0281        -0.8170
     32.4218         3.0307        -0.8170
     32.3429         3.0338        -0.8170
     32.2639         3.0374        -0.8170
     32.1844         3.0414        -0.8170
     32.1040         3.0459        -0.8170
     32.0238         3.0508        -0.8170
     31.9433         3.0561        -0.8170
     31.8617         3.0618        -0.8170
     31.7805         3.0680        -0.8170
     31.6982         3.0746        -0.8170
     31.6158         3.0816        -0.8170
     31.5330         3.0890        -0.8170
     31.4492         3.0969        -0.8170
     31.3654         3.1051        -0.8170
     31.2812         3.1138        -0.8170
     31.1965         3.1229        -0.8170
     31.1114         3.1323        -0.8170
     31.0257         3.1422        -0.8170
     30.9398         3.1525        -0.8170
     30.8535         3.1631        -0.8170
     30.7666         3.1741        -0.8170
     30.6794         3.1855        -0.8170
     30.5918         3.1973        -0.8170
     30.5042         3.2094        -0.8170
     30.4161         3.2219        -0.8170
     30.3279         3.2347        -0.8170
     30.2393         3.2479        -0.8170
     30.1498         3.2614        -0.8170
     30.0587         3.2753        -0.8170
     29.9723         3.2895        -0.8170
     29.8841         3.3040        -0.8170
     29.7932         3.3189        -0.8170
     29.7080         3.3340        -0.8170
     29.6194         3.3494        -1.0758
     24.8393         3.3652        -1.0758
     24.7530         3.3745        -1.0758
     24.6445         3.3845        -1.0758
     24.5670         3.3949        -1.0758
     24.4676         3.4058        -1.0758
     24.3743         3.4171        -1.0758
     24.2867         3.4288        -1.0758
     24.1898         3.4407        -1.0758
     24.1046         3.4529        -1.0758
     23.9993         3.4654        -1.0758
     23.9130         3.4781        -1.0758
     23.8300         3.4910        -1.0758
     23.7289         3.5041        -1.0758
     23.6559         3.5174        -1.0758
     23.5534         3.5310        -1.0758
     23.4660         3.5447        -1.0758
     23.3663         3.5585        -1.0758
     23.2809         3.5725        -1.0758
     23.1864         3.5867        -1.0758
     23.1006         3.6010        -1.0758
     23.0270         3.6155        -1.0758
     22.9401         3.6301        -1.0758
     22.8549         3.6448        -1.0758
     22.7729         3.6596        -1.0758
     22.6762         3.6745        -1.0758
     22.5881         3.6896        -1.0758
     22.5082         3.7048        -1.0758
     22.4355         3.7200        -1.0758
     22.3394         3.7355        -1.0758
