     velsurf       thk_regu           glen
     33.3698         0.0302        -0.8273
     34.1399         0.0311        -0.8273
     34.0854         0.0312        -0.8273
     34.0388         0.0312        -0.8273
     33.9968         0.0313        -0.8273
     33.9570         0.0313        -0.8273
     33.9194         0.0314        -0.8273
     33.8826         0.0314        -0.8273
     33.8436         0.0315        -0.8273
     33.8079         0.0315        -0.8273
     33.7738         0.0315        -0.8273
     33.7391         0.0316        -0.8273
     33.7049         0.0316        -0.8273
     33.6703         0.0317        -0.8273
     33.6356         0.0317        -0.8273
     33.6009         0.0318        -0.8273
     33.5656         0.0318        -0.8273
     33.5316         0.0318        -0.8273
     33.4967         0.0319        -0.8273
     33.4601         0.0319        -0.8273
     33.4255         0.0320        -0.8273
     33.3895         0.0320        -0.8273
     33.3504         0.0321        -0.8273
     33.3162         0.0321        -0.8273
     33.2796         0.0322        -0.8273
     33.2414         0.0323        -0.8273
     33.2030         0.0323        -0.8273
     33.1663         0.0324        -0.8273
     33.1244         0.0324        -0.8273
     33.0834         0.0325        -0.8273
     33.0458         0.0325        -0.8273
     33.0051         0.0326        -0.8273
     32.9665         0.0327        -0.8273
     32.9266         0.0327        -0.8273
     32.8856         0.0328        -0.8273
     32.8479         0.0329        -0.8273
     32.8072         0.0329        -0.8273
     32.7646         0.0330        -0.8273
     32.7228         0.0331        -0.8273
     32.6807         0.0332        -0.8273
     32.6373         0.0332        -0.8273
     32.5954         0.0333        -0.8273
     32.5527         0.0334        -0.8273
     32.5084         0.0335        -0.8273
     32.4666         0.0335        -0.8273
     32.4227         0.0336        -0.8273
     32.3778         0.0337        -0.8273
     32.3346         0.0338        -0.8273
     32.2905         0.0339        -0.8273
     32.2441         0.0340        -0.9500
     27.2295         0.0341        -0.9500
     27.1801         0.0341        -0.9500
     27.1338         0.0342        -0.9500
     27.0910         0.0343        -0.9500
     27.0439         0.0344        -0.9500
     26.9925         0.0344        -0.9500
     26.9458         0.0345        -0.9500
     26.8986         0.0346        -0.9500
     26.8468         0.0347        -0.9500
     26.7991         0.0348        -0.9500
     26.7521         0.0349        -0.9500
     26.7028         0.0350        -0.9500
     26.6559         0.0350        -0.9500
     26.6024         0.0351        -0.9500
     26.5535         0.0352        -0.9500
