X,Y,Alt,Annual_SMB (m w.e.),Year
452944.1820357651,5159387.8728868,2336.0,-5.664470338983051,2010
453187.49049894605,5159426.032375552,2337.1,-6.082291443850267,2010
453275.02002037055,5159453.588180781,2338.0,-5.142067039106146,2009
452927.4575648074,5159391.504338272,2339.3,-5.408352653631285,2009
453065.9581800111,5159392.953067292,2340.4,-5.0587124999999995,2009
453169.27217750833,5159434.992418657,2341.6,-4.976786312849161,2009
453164.8522693216,5159438.979399004,2345.0,-4.0488123167155425,2008
453030.1727553123,5159640.013641931,2345.8,-6.140334905660377,2016
453059.6993828314,5159425.170830327,2346.1,-4.82250412087912,2008
452934.09573352337,5159418.666966522,2346.2,-4.848934750733138,2008
453017.31534676853,5159662.1645278,2358.3,-5.317496010638298,2015
453016.55353377876,5159664.079270723,2362.8,-5.117887387387388,2014
453013.8544407827,5159669.131856355,2366.6,-3.4045035511363637,2013
453012.9212383444,5159667.450733856,2368.4,-4.127740056818182,2012
453014.3164329213,5159667.22306751,2373.1,-6.24849173553719,2011
453020.12699360744,5159652.710600546,2374.9,-6.193773305084746,2010
453016.79579836805,5159661.175048487,2379.2,-5.184094537815126,2009
453033.8037713582,5159631.543240238,2381.1,-4.82897911051213,2007
453016.75936844153,5159664.375122169,2382.5,-5.1346301652892565,2008
452787.48225976445,5160307.598935693,2457.1,-5.617564690026954,2016
452783.9774429733,5160342.561484572,2465.9,-4.730764627659575,2015
452788.2232754353,5160339.877690434,2469.5,-4.6802454954954955,2014
452787.4071717926,5160344.093048841,2471.9,-4.304139204545454,2013
452780.4504611942,5160336.132842039,2471.9,-3.9447,2012
452791.578286152,5160332.612517305,2475.3,-4.985359806629835,2011
452793.8722425968,5160337.365990478,2479.8,-6.426342253521127,2010
452793.5724214776,5160337.371944744,2482.2,-4.797359243697478,2009
452792.89140428114,5160333.28629809,2484.0,-4.82673347107438,2008
452804.43383312976,5160295.264714413,2484.8,-4.589745283018868,2007
452913.95419130975,5161409.964313187,2601.0,-4.174285714285714,2016
452915.9616359779,5161405.32536951,2603.0,-3.434904255319149,2015
452915.1634012687,5161410.44019678,2605.7,-4.311951369863014,2014
