X,Y,Alt,Annual_SMB (m w.e.),Year
410011.4787897853,5095773.007567547,2690.0,-4.413020547945205,2013
410014.45721625607,5095771.94921027,2694.0,-5.832808495821727,2014
410074.2118061392,5095607.814121652,2698.0,-6.754131147540984,2010
410089.33990334114,5095614.514697811,2699.0,-5.259600000000001,2013
410089.33990334114,5095614.514697811,2699.0,-5.1682875,2012
409983.91308988235,5095845.532032167,2700.0,-5.0410621508379885,2009
409983.91308988235,5095845.532032167,2700.0,-5.027020194986072,2008
410112.5612276252,5095626.054772674,2701.0,-5.04283855585831,2015
410082.59999858076,5095627.644068883,2701.0,-6.074266304347826,2011
410086.49912914314,5095622.568595711,2701.0,-7.151371169916434,2014
410003.95936189796,5095848.136830578,2710.0,-5.345121951219512,2007
409971.82239968935,5095840.771188007,2710.0,-4.727119834710744,2006
410001.7443227448,5095837.183157633,2711.0,-5.603891364902507,2005
410095.6668565073,5095580.398704395,2712.0,-5.610362430167598,2009
410014.4178871669,5095769.950482994,2713.0,-5.284679836512261,2015
410058.20233164536,5095607.129387581,2720.0,-5.869435236768802,2008
410065.7646224515,5095584.986085365,2720.0,-5.723256198347107,2006
410102.0956506008,5095602.266704151,2720.0,-5.844,2007
410064.8045878969,5095587.004475745,2721.0,-6.061725626740946,2005
410029.9034925875,5095845.626820232,2730.0,-5.04230720338983,2004
410095.7848425235,5095586.394882297,2745.0,-5.413747881355932,2004
410595.5358418733,5095732.521878627,2780.0,-4.2239395161290325,2020
410626.45707368915,5095728.9141470175,2786.0,-4.690994594594595,2017
410608.2128963046,5095716.276425926,2787.0,-4.966998626373626,2016
410599.2846137709,5095735.047456533,2787.6,-4.0351917134831465,2018
411233.4765523066,5095382.053021615,2788.0,-5.111493131868132,2019
410634.21597921546,5095716.764473115,2800.0,-4.142469512195122,2011
410597.35757311736,5095723.488286556,2802.0,-2.606511580381471,2013
410597.35757311736,5095723.488286556,2802.0,-3.2505209497206704,2012
410578.173031199,5095713.868315862,2806.0,-4.761476323119777,2005
410630.2971944997,5095720.840585673,2806.0,-4.774126021798365,2015
410630.17919858464,5095714.844412785,2810.0,-4.8993534246575345,2010
410622.243299069,5095717.999827034,2810.0,-4.315663407821229,2009
410582.36713895877,5095723.78327501,2810.0,-4.192828512396694,2006
410582.36713895877,5095723.78327501,2810.0,-4.12465243902439,2007
410633.01995725336,5095706.790517853,2835.0,-4.327283898305084,2004
411265.60975814203,5095338.43154294,2879.0,-2.792395161290323,2020
411517.60202586226,5095290.483326072,2883.0,-2.8111023676880222,2009
411505.1413738207,5095317.721698898,2883.0,-2.9309085365853655,2007
411493.3850704504,5095329.950017858,2883.0,-2.9026692200557105,2008
411213.5913320349,5095438.430188703,2913.0,-2.3377990463215257,2013
411213.5913320349,5095438.430188703,2913.0,-1.533437849162011,2012
411258.8482738125,5095350.461592189,2920.7,-2.0499143258426966,2018
411260.7702931126,5095346.524755282,2922.0,-2.3299739010989016,2019
411246.2934198278,5095403.395328817,2924.6,-2.8009171232876717,2010
411256.7138534032,5095343.605342863,2926.0,-3.070508241758242,2016
411253.7980883679,5095398.648804697,2928.0,-3.946531337047354,2014
411287.0683182353,5095362.0031749625,2928.0,-2.6547439024390247,2011
411233.2995513697,5095373.058781924,2934.0,-3.0829074324324326,2017
411287.0093176256,5095359.005095547,2935.0,-3.5022200272479567,2013
411225.1866710483,5095367.219956146,2935.0,-2.096880919220056,2008
411192.69945720054,5095392.852958358,2935.0,-2.841823170731707,2007
411283.0905457402,5095363.081202258,2936.0,-2.728692200557103,2009
411229.7508031997,5095345.135704268,2938.0,-2.562787190082645,2006
411277.09073987254,5095312.212188393,2940.0,-2.687125340599455,2015
411451.5496482911,5095337.771559101,2949.0,-3.874258928571429,2016
411454.62639552966,5095341.709994925,2955.0,-3.3412869863013697,2010
411488.05392986175,5095313.059246901,2957.0,-3.626047353760445,2014
411455.80276035226,5095350.684562284,2959.0,-2.4149350558659215,2012
411512.76256847195,5095298.576535735,2965.0,-3.670317073170732,2011
411510.6851809042,5095294.618433724,2968.0,-3.1260224795640323,2015
411516.4846629439,5095284.506838653,2969.0,-2.0959577656675745,2013
411584.84962198156,5094694.311468758,3028.0,-2.5361310483870967,2020
411610.7899652953,5094640.814542295,3030.0,-2.182591463414634,2011
411557.9295846442,5094748.827430684,3031.0,-3.1788791208791207,2016
411594.07409121975,5094680.433443255,3036.4,-1.8837050561797752,2018
411610.3609266329,5094669.8155702865,3038.0,-2.0048612637362635,2019
411620.00050865876,5094651.630476887,3039.0,-2.5409554054054055,2017
411617.7104202878,5094687.666339161,3040.0,-1.3929025423728814,2004
411554.10553221987,5094706.913409668,3040.0,-2.2221075418994416,2012
411583.4408932485,5094724.331526175,3040.0,-3.0400194986072426,2005
411602.2284044664,5094662.977398288,3040.0,-2.0845975609756096,2007
411617.7104202878,5094687.666339161,3040.0,-2.212399863760218,2015
411610.2268837452,5094713.80696206,3042.0,-1.316691416893733,2013
411583.97395810863,5094670.134885412,3043.8,-2.395639726027397,2010
411580.8521920182,5094694.390133457,3046.0,-2.655438718662953,2014
411613.74870489474,5094638.756829379,3047.0,-2.170134401114206,2009
412432.31518393673,5094830.594084534,3054.0,-0.9916843575418995,2012
411643.5524265573,5094629.172629643,3057.0,-1.6028739669421486,2006
411605.1673583286,5094101.0636605695,3088.0,-1.6616868131868132,2019
411622.36630025815,5094075.8316306295,3090.3,-1.6713265449438202,2018
