dis_along_flowline,area,mean_elevation,slope,bin_elevation,dx,width
213.26104763152955,21780.0,3542.69384765625,0.07022068649530411,3555.0,426.5220952630591,51.064177546457714
485.30290440847,117612.0,3525.906005859375,0.2498529851436615,3525.0,117.56161829082174,1000.428555764294
651.7669031209282,243936.0,3491.105712890625,0.1384068876504898,3495.0,215.36637913409456,1132.6559000563268
813.6233262963967,296208.0,3463.890869140625,0.2701220214366913,3465.0,108.3464672168426,2733.8962460785624
912.0486015891554,235224.0,3434.184326171875,0.32681262493133545,3435.0,88.5040833686747,2657.775675955485
999.702012977877,235224.0,3404.377685546875,0.33275964856147766,3405.0,86.80273940876845,2709.868393580199
1088.9354655428867,274428.0,3374.861083984375,0.31629419326782227,3375.0,91.66416572125105,2993.8416811050265
1180.680855689722,317988.0,3345.826416015625,0.3157711327075958,3345.0,91.8266145724195,3462.9176027089316
1272.5487023968499,331056.0,3314.655517578125,0.315506249666214,3315.0,91.90907884183655,3601.994538207742
1369.4391094069679,400752.0,3283.629638671875,0.2863922417163849,3285.0,101.8717351783996,3933.8880337926503
1488.7829157528822,453024.0,3254.33837890625,0.21585656702518463,3255.0,136.81587751342929,3311.194637885015
1621.8554819248625,461736.0,3225.397216796875,0.22793488204479218,3225.0,129.32925483053126,3570.2362980830862
1746.9514692920009,470448.0,3195.37939453125,0.24329842627048492,3195.0,120.86271990374534,3892.416126119478
1865.5903831130724,492228.0,3164.65185546875,0.2522110939025879,3165.0,116.41510773839768,4228.21410006432
1969.9352933584264,509652.0,3134.354736328125,0.31433695554733276,3135.0,92.27471275231011,5523.203321889949
2057.3297624572356,548856.0,3103.361572265625,0.3487156331539154,3105.0,82.51422544530844,6651.653057857148
2142.860567218681,666468.0,3074.285888671875,0.32666394114494324,3075.0,88.54738407758245,7526.681978725216
2227.641393071626,588060.0,3043.5693359375,0.35464829206466675,3045.0,81.01426762830795,7258.721422972174
2310.291142375644,588060.0,3013.8466796875,0.3419516384601593,3015.0,84.28523097972737,6977.023058066277
2405.395188104253,635976.0,2984.69140625,0.27599671483039856,2985.0,105.92286047749087,6004.142987954408
2561.609097486242,701316.0,2955.0703125,0.14426571130752563,2955.0,206.5049582864869,3396.121845302405
2771.666040152072,649044.0,2924.855224609375,0.1395309567451477,2925.0,213.60892704517335,3038.46851804439
3012.236412616147,666468.0,2894.80322265625,0.11166968941688538,2895.0,267.5318178829766,2491.17284543525
3410.979565528984,823284.0,2864.437744140625,0.056548282504081726,2865.0,529.9544879426975,1553.4994395387014
3885.2393382950845,570636.0,2835.844970703125,0.07155109196901321,2835.0,418.56505758950357,1363.3149486635741
4248.8951623118,439956.0,2805.635498046875,0.09686298668384552,2805.0,308.74659044392774,1424.9744405838273
4546.407299685434,339768.0,2774.899658203125,0.1044122651219368,2775.0,286.2776843033404,1186.8476609583763
4836.761594481899,296208.0,2745.889404296875,0.10154104977846146,2745.0,294.4309052895891,1006.0356935310954
5062.4276280515705,222156.0,2715.40234375,0.1889229416847229,2715.0,156.90116184975395,1415.8977370271678
5221.424862896134,217800.0,2684.7265625,0.1841183602809906,2685.0,161.09330783937236,1352.0114703782135
5418.829835676527,287496.0,2655.396240234375,0.12766247987747192,2655.0,233.7166377214144,1230.1049801284987
5680.216510798147,396396.0,2625.7333984375,0.1034156084060669,2625.0,289.0567125218257,1371.3433483059814
6024.96101625066,418176.0,2595.298828125,0.07477933168411255,2595.0,400.43229838319877,1044.3113647136954
6341.063314123764,283140.0,2566.483642578125,0.1287216991186142,2565.0,231.77229736301055,1221.630036123495
6588.440284147266,252648.0,2535.177978515625,0.11358539015054703,2535.0,262.98164268399296,960.7058402307944
6858.561864990256,248292.0,2505.08984375,0.107781782746315,2505.0,277.26151900198784,895.5155439302771
7114.680285332195,182952.0,2475.618408203125,0.12698598206043243,2475.0,234.9753216818901,778.6009130255842
7325.0546341733725,139392.0,2445.654296875,0.1601048856973648,2445.0,185.77337600046533,750.333567710213
7502.81132473313,108900.0,2416.09716796875,0.17493432760238647,2415.0,169.7400051190509,641.5694398242806
7688.722686015742,161172.0,2384.719482421875,0.14737768471240997,2385.0,202.0827174461716,797.5545956468596
7921.128474893545,226512.0,2355.18701171875,0.1136937364935875,2355.0,262.72886030943573,862.1511916628406
8173.503058854987,169884.0,2326.373046875,0.12332745641469955,2325.0,242.02030761344813,701.9410960808159
8376.583478250692,78408.0,2295.516845703125,0.18077491223812103,2295.0,164.14053117796092,477.6882311596163
8523.439549225839,52272.0,2263.837158203125,0.22752311825752258,2265.0,129.5716107723329,403.4217039398071
8687.910690380624,34848.0,2238.25048828125,0.14935298264026642,2235.0,199.37067153723586,174.7900016151149
