     velsurf       thk_regu           glen
     34.1425         3.0247        -0.7957
     34.8643         3.0910        -0.7957
     34.8075         3.0816        -0.7957
     34.7589         3.0742        -0.7957
     34.7149         3.0679        -0.7957
     34.6737         3.0625        -0.7957
     34.6343         3.0576        -0.7957
     34.5960         3.0532        -0.7957
     34.5584         3.0492        -0.7957
     34.5216         3.0455        -0.7957
     34.4851         3.0421        -0.7957
     34.4489         3.0390        -0.7957
     34.4127         3.0360        -0.7957
     34.3767         3.0333        -0.7957
     34.3406         3.0308        -0.7957
     34.3041         3.0285        -0.7957
     34.2677         3.0264        -0.7957
     34.2311         3.0245        -0.7957
     34.1941         3.0228        -0.7957
     34.1568         3.0212        -0.7957
     34.1195         3.0198        -0.7957
     34.0817         3.0186        -0.7957
     34.0433         3.0175        -0.7957
     34.0049         3.0166        -0.7957
     33.9661         3.0159        -0.7957
     33.9269         3.0153        -0.7957
     33.8872         3.0149        -0.7957
     33.8472         3.0147        -0.7957
     33.8067         3.0146        -0.7957
     33.7661         3.0147        -0.7957
     33.7249         3.0150        -0.7957
     33.6832         3.0154        -0.7957
     33.6414         3.0160        -0.7957
     33.5992         3.0167        -0.7957
     33.5565         3.0176        -0.7957
     33.5135         3.0187        -0.7957
     33.4701         3.0199        -0.7957
     33.4266         3.0213        -0.7957
     33.3826         3.0229        -0.7957
     33.3381         3.0246        -0.7957
     33.2931         3.0264        -0.7957
     33.2483         3.0284        -0.7957
     33.2028         3.0306        -0.7957
     33.1565         3.0330        -0.7957
     33.1101         3.0355        -0.7957
     33.0637         3.0381        -0.7957
     33.0169         3.0410        -0.7957
     32.9684         3.0439        -0.7957
     32.9227         3.0471        -0.7957
     32.8749         3.0504        -0.9000
     28.0526         3.0538        -0.9000
     28.0047         3.0565        -0.9000
     27.9522         3.0593        -0.9000
     27.9042         3.0623        -0.9000
     27.8507         3.0654        -0.9000
     27.7999         3.0688        -0.9000
     27.7483         3.0723        -0.9000
     27.6971         3.0760        -0.9000
     27.6456         3.0798        -0.9000
     27.5941         3.0838        -0.9000
     27.5422         3.0879        -0.9000
     27.4904         3.0922        -0.9000
     27.4386         3.0966        -0.9000
     27.3846         3.1012        -0.9000
     27.3339         3.1059        -0.9000
     27.2800         3.1108        -0.9000
     27.2291         3.1158        -0.9000
     27.1748         3.1209        -0.9000
     27.1232         3.1262        -0.9000
     27.0654         3.1316        -0.9000
     27.0174         3.1371        -0.9000
     26.9628         3.1428        -0.9000
     26.9062         3.1486        -0.9000
     26.8554         3.1545        -0.9000
     26.8051         3.1606        -0.9000
     26.7424         3.1668        -0.9000
     26.6957         3.1731        -0.9000
     26.6379         3.1795        -0.9000
     26.5870         3.1860        -0.9000
     26.5276         3.1927        -0.9000
     26.4792         3.1995        -0.9000
     26.4198         3.2064        -0.9000
     26.3632         3.2134        -0.9000
     26.3091         3.2205        -0.9000
     26.2544         3.2277        -0.9000
     26.1975         3.2351        -0.9000
     26.1490         3.2425        -0.9000
     26.0881         3.2501        -0.9000
     26.0398         3.2577        -0.9000
     25.9788         3.2655        -0.9000
     25.9309         3.2733        -0.9000
     25.8769         3.2813        -0.9000
     25.8222         3.2893        -0.9000
     25.7686         3.2975        -0.9000
     25.7209         3.3057        -0.9000
     25.6579         3.3141        -0.9000
     25.6134         3.3225        -0.9000
     25.5574         3.3310        -0.9000
     25.4948         3.3396        -0.9000
     25.4536         3.3482        -0.9220
     24.0829         3.3570        -0.9220
     24.0288         3.3649        -0.9220
     23.9752         3.3731        -0.9220
     23.9360         3.3814        -0.9220
     23.8701         3.3899        -0.9220
     23.8311         3.3986        -0.9220
     23.7717         3.4074        -0.9220
     23.7300         3.4163        -0.9220
     23.6673         3.4253        -0.9220
     23.6310         3.4344        -0.9220
     23.5624         3.4436        -0.9220
     23.5239         3.4528        -0.9220
     23.4741         3.4622        -0.9220
     23.4212         3.4716        -0.9220
     23.3715         3.4811        -0.9220
     23.3319         3.4906        -0.9220
     23.2671         3.5002        -0.9220
     23.2264         3.5098        -0.9220
     23.1731         3.5195        -0.9220
     23.1370         3.5293        -0.9220
     23.0669         3.5390        -0.9220
     23.0435         3.5489        -0.9220
     22.9736         3.5587        -0.9220
     22.9435         3.5686        -0.9220
     22.8741         3.5786        -0.9220
     22.8459         3.5886        -0.9220
     22.7842         3.5986        -0.9220
     22.7461         3.6086        -0.9220
     22.6997         3.6187        -0.9220
     22.6585         3.6288        -0.9220
     22.5895         3.6389        -0.9220
     22.5701         3.6491        -0.9220
