X,Y,Alt,Annual_SMB (m w.e.)
498.7307535807292,5138301.333333333,1644.0,-11.850190476190477
990.525625375601,5138610.461538462,1762.3077392578125,-13.377333333333334
1407.1712297712054,5139134.75,1855.142822265625,-13.704952380952381
2178.61178734189,5139580.0,1946.6190185546875,-12.572238095238095
2892.2014638863357,5140289.176470588,2052.09814453125,-11.622904761904762
3190.6606980708607,5141626.587719298,2150.184326171875,-10.154047619047619
4203.279025354118,5142570.953271028,2249.046630859375,-9.126380952380952
4475.882196599787,5144079.204545454,2349.681884765625,-7.361380952380952
4051.2824861373024,5146019.0,2451.90234375,-6.037428571428571
3053.4295935997598,5147548.394230769,2546.40380859375,-4.744809523809524
2159.208491059923,5148736.402061855,2651.82470703125,-3.7617619047619044
818.6855445645209,5149879.201892745,2753.58349609375,-2.755952380952381
-31.753256323130707,5150337.315068494,2847.150634765625,-1.5339047619047619
-935.3870479699337,5149734.606060606,2949.44775390625,-0.5921428571428571
-1011.2154164741544,5149784.29032258,3051.3369140625,0.1761904761904762
-726.6580764145879,5150667.786549708,3151.96484375,0.7860952380952381
-422.733428210747,5151716.863414634,3250.239013671875,1.2960476190476191
-562.4307269853415,5152486.600515464,3351.2421875,1.6145714285714288
-1100.0234414377521,5152737.366359447,3449.428466796875,1.533
-1637.8761528510552,5152208.553246753,3548.72998046875,1.566857142857143
-1838.7653534172118,5152077.26744186,3641.775146484375,1.6554285714285712
-1896.6586083163734,5152164.428571428,3741.865478515625,1.633904761904762
-2834.935936118072,5150976.849056603,3840.188720703125,1.587904761904762
-3519.9359537760415,5149931.111111111,3924.666748046875,1.3303333333333334
-2012.9358520507812,5148519.25,4043.25,1.1603333333333332
