# Mass Balance;  Findelen; 16; annual
# name; date0; time0; date1; time1; period; date_quality; x_pos ; y_pos ; z_pos ; position_quality; mb_raw ; density ;  density_quality ; mb_we ; measurement_quality ; measurement_type ; mb_error ; reading_error ; density_error ; error_evaluation_method; source
# (-);  (yyyymmdd); (hhmm) ; (yyyymmdd); (hhmm) ; (d) ; (#) ; (m) ; (m) ; (m a.s.l.) ; (#) ; (cm) ; (kg m-3) ; (#) ; (mm w.e.) ; (#) ; (#) ; (mm w.e.) ; (mm w.e.) ; (mm w.e.) ; (#) ; (-) 
#  GLAMOS / VAW-ETHZ    ; production-date 20231108 ;   reference ; http://www.glamos.ch
        930   20061011 1200   20071009 1200  363.0  1   634415.0  93922.0  3296.0   2    20  1000   5    200   2   2   224   223    20   0  mh,al,ns,ufr,uzh
       1010   20061011 1200   20071009 1200  363.0  1   635094.0  93920.0  3349.0   4   200   539   6   1078   1   2   140    53   129   0  mh,al,ns,ufr,uzh
        110   20071009 1200   20081012 1200  369.0  1   629887.0  95550.0  2590.0   2  -778   900   1  -7002   1   1   114    45   105   0  mh,al,ns,ufr,uzh
        120   20071009 1200   20081012 1200  369.0  1   629916.0  95409.0  2588.0   2  -754   900   1  -6786   1   1   111    45   101   0  mh,al,ns,ufr,uzh
        200   20071009 1200   20081012 1200  369.0  1   630329.0  95452.0  2650.0   2  -666   900   1  -5994   1   1   100    45    89   0  mh,al,ns,ufr,uzh
        310   20071009 1200   20081012 1200  369.0  1   630897.0  95494.0  2710.0   2  -600   900   1  -5400   1   1    92    45    80   0  mh,al,ns,ufr,uzh
        320   20071009 1200   20081012 1200  369.0  1   631000.0  95250.0  2720.0   2  -656   900   1  -5904   1   1    99    45    88   0  mh,al,ns,ufr,uzh
        400   20071009 1200   20081012 1200  369.0  1   631478.0  95381.0  2810.0   2  -463   900   1  -4167   1   1    77    45    62   0  mh,al,ns,ufr,uzh
        500   20071009 1200   20081012 1200  369.0  1   632095.0  95062.0  2935.0   2  -319   900   1  -2871   1   1    62    45    43   0  mh,al,ns,ufr,uzh
        610   20071009 1200   20081012 1200  369.0  1   632409.0  94993.0  2883.0   2  -329   900   1  -2961   1   1    63    45    44   0  mh,al,ns,ufr,uzh
        700   20071009 1200   20081012 1200  369.0  1   632519.0  94340.0  3040.0   2  -234   900   1  -2106   1   1    54    45    31   0  mh,al,ns,ufr,uzh
        800   20071009 1200   20081012 1200  369.0  1   633279.0  93867.0  3130.0   2  -151   900   1  -1359   1   1    49    45    20   0  mh,al,ns,ufr,uzh
        910   20071009 1200   20081012 1200  369.0  1   634335.0  94422.0  3280.0   2   -41   900   1   -369   1   1    45    45     5   0  mh,al,ns,ufr,uzh
       1010   20071009 1200   20081012 1200  369.0  1   635094.0  93920.0  3349.0   4   200   539   6   1078   1   2   140    53   129   0  mh,al,ns,ufr,uzh
        110   20081012 1200   20091006 1200  359.0  1   629890.0  95565.0  2600.0   2  -827   900   1  -7443   1   1   120    45   111   0  mh,al,ns,ufr,uzh
        120   20081012 1200   20091006 1200  359.0  1   629922.0  95415.0  2588.0   2  -784   900   1  -7056   1   1   115    45   105   0  mh,al,ns,ufr,uzh
        200   20081012 1200   20091006 1200  359.0  1   630331.0  95465.0  2640.0   2  -670   900   1  -6030   1   1   101    45    90   0  mh,al,ns,ufr,uzh
        310   20081012 1200   20091006 1200  359.0  1   630877.0  95491.0  2700.0   2  -549   900   1  -4941   1   1    86    45    74   0  mh,al,ns,ufr,uzh
